sample_period,decision_rule,model,probability_column,bin_index,bin_lower,bin_upper,observations,mean_probability,empirical_frequency,absolute_calibration_gap
out_of_sample_validation,6h_prior,gp,gp_event_probability,1,0.1,0.2,64,0.14984252667997067,0.125,0.024842526679970667
out_of_sample_validation,6h_prior,gp,gp_event_probability,2,0.2,0.3,61,0.23395662525453154,0.29508196721311475,0.06112534195858321
out_of_sample_validation,6h_prior,gp,gp_event_probability,3,0.3,0.4,0,,,
out_of_sample_validation,6h_prior,gp,gp_event_probability,4,0.4,0.5,0,,,
out_of_sample_validation,6h_prior,gp,gp_event_probability,5,0.5,0.6,0,,,
out_of_sample_validation,6h_prior,gp,gp_event_probability,6,0.6,0.7,1,0.6425649653260646,1.0,0.35743503467393545
out_of_sample_validation,6h_prior,gp,gp_event_probability,7,0.7,0.8,0,,,
out_of_sample_validation,6h_prior,gp,gp_event_probability,8,0.8,0.9,0,,,
out_of_sample_validation,6h_prior,gp,gp_event_probability,9,0.9,1.0,0,,,
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,0,0.0,0.1,223,0.015076233183856503,0.0,0.015076233183856503
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,1,0.1,0.2,28,0.14160714285714285,0.14285714285714285,0.0012500000000000011
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,2,0.2,0.3,28,0.24517857142857144,0.14285714285714285,0.10232142857142859
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,3,0.3,0.4,26,0.34423076923076923,0.5,0.15576923076923077
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,4,0.4,0.5,10,0.4365,0.4,0.03649999999999998
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,5,0.5,0.6,3,0.54,1.0,0.45999999999999996
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,6,0.6,0.7,0,,,
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,7,0.7,0.8,1,0.725,1.0,0.275
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,8,0.8,0.9,0,,,
out_of_sample_validation,6h_prior,market_raw,market_probability_raw,9,0.9,1.0,0,,,
out_of_sample_validation,6h_prior,market_normalised,market_probability_normalised,0,0.0,0.1,225,0.015425882288666221,0.0,0.015425882288666221
out_of_sample_validation,6h_prior,market_normalised,market_probability_normalised,1,0.1,0.2,27,0.14243266270015773,0.14814814814814814,0.005715485447990415
