declaring_manifest,hash_group,declared_path,verifiable_repository_path,exists,expected_sha256,actual_sha256,hash_matches
data/manifests/12_trading_strategy_manifest.json,input_hashes,outputs/diagnostics/09_development_regularised_event_probability_panel.csv,True,True,6d3000d63acc87c1ff1d29b432eb053081270b4457409551360f6e7d031bcd5d,6d3000d63acc87c1ff1d29b432eb053081270b4457409551360f6e7d031bcd5d,True
data/manifests/12_trading_strategy_manifest.json,input_hashes,outputs/diagnostics/09_locked_regularised_event_probability_panel.csv,True,True,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23,bd018bf7a283a485d42526e3fb6d329f0d5e2f81271ef9814c4dc30dda657a23,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_development_balanced_support_dates.csv,True,True,e3d008355b31abf57e3099a7b914f13f69a48cbb7a9563048befd4b2ebce741a,e3d008355b31abf57e3099a7b914f13f69a48cbb7a9563048befd4b2ebce741a,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_development_trading_candidate_date_panel.csv,True,True,84e73ce874a524431c59964eac890308ec5444ceddb0181ed2f63c0a3da8f0d9,84e73ce874a524431c59964eac890308ec5444ceddb0181ed2f63c0a3da8f0d9,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_development_trading_candidate_summary.csv,True,True,354ab6fdb24c1ac890b2ce7df375c46b0a45f92a338823cbaee57e55adc5f65b,354ab6fdb24c1ac890b2ce7df375c46b0a45f92a338823cbaee57e55adc5f65b,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_development_trading_common_support_panel.csv,True,True,bfca4c8b2399d9947420a50531b2fdfc2912d27c9805186f9c8182f1d42f29f5,bfca4c8b2399d9947420a50531b2fdfc2912d27c9805186f9c8182f1d42f29f5,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_development_trading_one_se_comparison.csv,True,True,2c4332e67aa5e897a282bc2ae7ad897ced1fc22b87a555b31b853caf72531604,2c4332e67aa5e897a282bc2ae7ad897ced1fc22b87a555b31b853caf72531604,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_locked_trading_cost_sensitivity.csv,True,True,bc3755b0d534fece9945853e29ddc4789316c82ac9860776d2fae2496c4e30a3,bc3755b0d534fece9945853e29ddc4789316c82ac9860776d2fae2496c4e30a3,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_locked_trading_date_panel.csv,True,True,8393769bba9d0fa0d4f3a0a715d64e70ac792d1010ca48fc6d9471de189b01fe,8393769bba9d0fa0d4f3a0a715d64e70ac792d1010ca48fc6d9471de189b01fe,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_locked_trading_trade_panel.csv,True,True,43c60e57f7fdf21a2ece18499ea5c411568f0fb5f9f904af46286d5381013fb7,43c60e57f7fdf21a2ece18499ea5c411568f0fb5f9f904af46286d5381013fb7,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/diagnostics/12_trading_strategy_integrity_checks.csv,True,True,983065cd6688a0120e536284fdc64b7abf2da2458f79c82332be3af43bf67f6e,983065cd6688a0120e536284fdc64b7abf2da2458f79c82332be3af43bf67f6e,True
data/manifests/12_trading_strategy_manifest.json,output_hashes,outputs/final_tables/12_trading_strategy_summary.csv,True,True,c86c3a51a270ab6094d6be67c2382169c965e81c36be16070063f28b1876f900,c86c3a51a270ab6094d6be67c2382169c965e81c36be16070063f28b1876f900,True
data/manifests/13_uncertainty_analysis_manifest.json,input_hashes,config/uncertainty_analysis_spec.yaml,True,True,ec2797ae37a24c47fa617f99d74fe32281131812ba72fe3dba9ac68a6569bc13,ec2797ae37a24c47fa617f99d74fe32281131812ba72fe3dba9ac68a6569bc13,True
data/manifests/13_uncertainty_analysis_manifest.json,input_hashes,outputs/diagnostics/07_continuous_prediction_and_outcome_panel.csv,True,True,37e98b888bb4c9da3b531109c1fc23e2c7a7dfe0a32b5eb78d376fc3dfacfe6e,37e98b888bb4c9da3b531109c1fc23e2c7a7dfe0a32b5eb78d376fc3dfacfe6e,True
data/manifests/13_uncertainty_analysis_manifest.json,input_hashes,outputs/diagnostics/10_locked_categorical_score_panel.csv,True,True,91caa4c7a7752dd799123b8fe4e6b97e8541c7c2cbea107f213dfa45ca98a925,91caa4c7a7752dd799123b8fe4e6b97e8541c7c2cbea107f213dfa45ca98a925,True
data/manifests/13_uncertainty_analysis_manifest.json,input_hashes,outputs/diagnostics/11_common_support_book_score_panel.csv,True,True,398c2f500b8dbe0504d932598d783ab01413ece1b99526a31d5dbbab6103b9f5,398c2f500b8dbe0504d932598d783ab01413ece1b99526a31d5dbbab6103b9f5,True
data/manifests/13_uncertainty_analysis_manifest.json,input_hashes,outputs/diagnostics/12_locked_trading_date_panel.csv,True,True,8393769bba9d0fa0d4f3a0a715d64e70ac792d1010ca48fc6d9471de189b01fe,8393769bba9d0fa0d4f3a0a715d64e70ac792d1010ca48fc6d9471de189b01fe,True
data/manifests/13_uncertainty_analysis_manifest.json,output_hashes,outputs/diagnostics/13_sign_flip_summary.csv,True,True,b58e0843a30ddcde885223fad8f73e15fe061d1f3d38f4aaa62d6b0228823734,b58e0843a30ddcde885223fad8f73e15fe061d1f3d38f4aaa62d6b0228823734,True
data/manifests/13_uncertainty_analysis_manifest.json,output_hashes,outputs/diagnostics/13_uncertainty_date_effect_panel.csv,True,True,57c36675857b6be322968dc064531bc65d92c6f609afd43cfc7fdb4eca19ea8a,57c36675857b6be322968dc064531bc65d92c6f609afd43cfc7fdb4eca19ea8a,True
