target_date,chronology_block,decision_rule,baseline_value,comparator_value,source_rows,effect,estimand,estimand_label,baseline_name,comparator_name,positive_effect_interpretation,rule_order,estimand_order,block_order
2026-06-21,external_test,24h_prior,2.900000000000002,0.6843702173247632,1,2.215629782675239,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-22,external_test,24h_prior,2.5,0.4874005203550641,1,2.012599479644936,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-23,external_test,24h_prior,1.6000000000000014,0.30735001530456385,1,1.2926499846954376,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-24,external_test,24h_prior,1.2999999999999972,0.36555708601163384,1,0.9344429139883633,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-25,external_test,24h_prior,1.6999999999999993,0.302299510254055,1,1.3977004897459442,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-26,external_test,24h_prior,1.1000000000000014,0.436264156718701,1,0.6637358432813004,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-27,external_test,24h_prior,3.0,0.7456075910621368,1,2.2543924089378633,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-28,external_test,24h_prior,0.6000000000000014,0.6992692072237505,1,-0.0992692072237491,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-29,external_test,24h_prior,2.1000000000000014,0.3603803183348644,1,1.739619681665137,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-30,external_test,24h_prior,2.900000000000002,0.6843702173247629,1,2.215629782675239,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,0,0,1
2026-06-01,external_test,12h_prior,2.299999999999997,0.4169459749005189,1,1.8830540250994783,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-02,external_test,12h_prior,2.599999999999998,0.5298247627793089,1,2.070175237220689,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-03,external_test,12h_prior,2.799999999999997,0.6278045607591044,1,2.172195439240893,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-04,external_test,12h_prior,1.8000000000000043,0.309370217324763,1,1.4906297826752413,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-05,external_test,12h_prior,1.3999999999999986,0.33878940924395395,1,1.0612105907560445,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-06,external_test,12h_prior,0.29999999999999716,0.8995217324762835,1,-0.5995217324762864,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-07,external_test,12h_prior,3.3000000000000007,0.9642944597490015,1,2.3357055402509994,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-08,external_test,12h_prior,3.099999999999998,0.8132843587389063,1,2.2867156412610914,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-09,external_test,12h_prior,0.7999999999999972,0.5796985001530496,1,0.22030149984694758,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-10,external_test,12h_prior,0.6000000000000014,0.6992692072237516,1,-0.09926920722375021,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-11,external_test,12h_prior,2.1999999999999993,0.38563284358739014,1,1.8143671564126091,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-12,external_test,12h_prior,2.099999999999998,0.3603803183348637,1,1.7396196816651341,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-13,external_test,12h_prior,1.3000000000000007,0.36555708601163284,1,0.9344429139883679,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-14,external_test,12h_prior,1.8999999999999986,0.3209863789409263,1,1.5790136210590724,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-15,external_test,12h_prior,1.2999999999999972,0.36555708601163484,1,0.9344429139883623,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-16,external_test,12h_prior,0.6000000000000014,0.6992692072237523,1,-0.09926920722375088,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-17,external_test,12h_prior,1.3999999999999986,0.3387894092439562,1,1.0612105907560423,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-18,external_test,12h_prior,0.8000000000000007,0.5796985001530445,1,0.22030149984695624,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
2026-06-19,external_test,12h_prior,1.8000000000000007,0.3093702173247641,1,1.4906297826752366,continuous_crps_improvement,Raw minus locked-model CRPS,raw_deterministic_forecast,locked_calibrated_distribution,positive values favour the locked weather model,1,0,1
