target_date,decision_rule,split,total_variation_market_matern,expected_rank_market_minus_matern,modal_disagreement,realised_event_probability_market,realised_event_probability_matern,realised_event_probability_market_minus_matern,categorical_log_matern_minus_market,multiclass_brier_winner_component_matern_minus_market,multiclass_brier_nonwinner_component_matern_minus_market,multiclass_brier_total_matern_minus_market
2026-04-20,6h_prior,development,0.2588438855837737,0.13910699539431892,0,0.3934740882917466,0.2560178207674005,0.13745626752434614,0.42976816193778633,0.18563580144216002,-0.03289605535437725,0.15273974608778276
2026-04-20,event_day_open,development,0.20646767778012515,-0.05928593593873899,0,0.3860640301318267,0.2744803884613571,0.11158364167046964,0.3411234230665271,0.14946133162920872,-0.026218354276826696,0.12324297735238202
2026-04-21,12h_prior,development,0.591133986413778,2.1177219748107206,1,0.326644890340644,0.12975954434128475,0.19688534599935922,0.9231905397409292,0.30391134696072497,0.007501485217951458,0.31141283217867644
2026-04-21,24h_prior,development,0.5121933846719697,1.7830475542875401,1,0.29250457038391225,0.1874783500462057,0.10502622033770656,0.4448169194705138,0.15964164871598363,-0.01731704326374304,0.1423246054522406
2026-04-21,6h_prior,development,0.4665933878772359,1.294924566550872,1,0.39036144578313253,0.21893808271403492,0.1714233630690976,0.5782841314754033,0.23839855184679531,-0.018952701484024132,0.21944585036277117
2026-04-21,event_day_open,development,0.3427742432043456,-0.23467557911661796,0,0.4604242110708743,0.2735665113705904,0.18685769970028387,0.5206034842043752,0.23656358140380618,-0.03744856520210912,0.19911501620169705
2026-04-22,12h_prior,development,0.2736661499527232,0.657269714699396,1,0.36013813517513565,0.2284301741336775,0.13170796104145815,0.4552570866985699,0.18589679013023414,-0.018359920427450466,0.16753686970278367
2026-04-22,24h_prior,development,0.21722017053430648,0.6672914798716523,1,0.30236634531113055,0.22657122597193038,0.07579511933920016,0.2885799872093693,0.11149935234001401,-0.01312054665063899,0.09837880568937503
2026-04-22,6h_prior,development,0.30561704261317973,0.5284223675160256,1,0.44155844155844154,0.23586709569017478,0.20569134586826676,0.6270418892048869,0.27204212125433197,0.004064888291634677,0.2761070095459667
2026-04-22,event_day_open,development,0.3859465406479773,0.7290825640458554,0,0.4447852760736196,0.2625264676795244,0.1822588083940952,0.5272397338319219,0.23560382120859263,-0.02891627530900271,0.20668754589958993
2026-04-23,12h_prior,development,0.2641978017329032,0.46114356901352416,0,0.10727611940298508,0.10661133423998984,0.0006647851629952434,0.006216234681992727,0.0011873811202579576,-0.1103836824590595,-0.10919630133880154
2026-04-23,24h_prior,development,0.19140115970270313,-0.09524286649366953,0,0.07317073170731708,0.14181101936517154,-0.06864028765785446,-0.6616998207475246,-0.1225241660809041,-0.0845840979130653,-0.20710826399396942
2026-04-23,6h_prior,development,0.40497197163158655,-0.5489667056259897,0,0.025383141762452106,0.15360337890595868,-0.12822023714350658,-1.8002885750255564,-0.23349078016141822,-0.21292431946446874,-0.446415099625887
