scope_type,scope_value,split,model,benchmark,metric,dates,mean_model_minus_market,median_model_minus_market,model_better_fraction,market_better_fraction
decision_rule,event_day_open,development,raw,market,binary_brier,63,0.10143945274170275,0.11292029545454546,0.07936507936507936,0.9206349206349206
decision_rule,event_day_open,development,raw,market,binary_log,63,4.41844731774765,4.825051303915903,0.07936507936507936,0.9206349206349206
decision_rule,event_day_open,development,raw,market,categorical_log,63,24.00377490770096,26.32744115693651,0.07936507936507936,0.9206349206349206
decision_rule,event_day_open,development,raw,market,multiclass_brier,63,1.119767235292597,1.240835240271569,0.07936507936507936,0.9206349206349206
decision_rule,event_day_open,june_external,raw,market,binary_brier,30,0.11394623636363638,0.13086188636363638,0.06666666666666667,0.9333333333333333
decision_rule,event_day_open,june_external,raw,market,binary_log,30,4.511526511984616,4.866240672328751,0.06666666666666667,0.9333333333333333
decision_rule,event_day_open,june_external,raw,market,categorical_log,30,24.59915978111616,26.631168768728926,0.06666666666666667,0.9333333333333333
decision_rule,event_day_open,june_external,raw,market,multiclass_brier,30,1.2534281565995082,1.4335355070347768,0.06666666666666667,0.9333333333333333
decision_rule,event_day_open,all_exact_support,raw,market,binary_brier,93,0.10547389907135873,0.12493806818181816,0.07526881720430108,0.9247311827956989
decision_rule,event_day_open,all_exact_support,raw,market,binary_log,93,4.448472864275703,4.8491388614625786,0.07526881720430108,0.9247311827956989
decision_rule,event_day_open,all_exact_support,raw,market,categorical_log,93,24.19583454428651,26.483137778253656,0.07526881720430108,0.9247311827956989
decision_rule,event_day_open,all_exact_support,raw,market,multiclass_brier,93,1.1628836615206326,1.369420375839288,0.07526881720430108,0.9247311827956989
decision_rule,24h_prior,development,static,market,binary_brier,55,-0.0009606377627871539,-0.0004651097643979668,0.509090909090909,0.4909090909090909
decision_rule,24h_prior,development,static,market,binary_log,55,-0.0009966800674641664,0.010136230272146302,0.45454545454545453,0.5454545454545454
decision_rule,24h_prior,development,static,market,categorical_log,55,0.0002204641128138633,0.12918347763732974,0.45454545454545453,0.5454545454545454
decision_rule,24h_prior,development,static,market,multiclass_brier,55,-0.011188888656177754,-0.0043086143907237195,0.509090909090909,0.4909090909090909
decision_rule,24h_prior,june_external,static,market,binary_brier,27,0.010152566232573303,0.011490120750979826,0.2222222222222222,0.7777777777777778
decision_rule,24h_prior,june_external,static,market,binary_log,27,0.039867684854341036,0.038451815678356954,0.14814814814814814,0.8518518518518519
decision_rule,24h_prior,june_external,static,market,categorical_log,27,0.3721484788303442,0.3200532755313166,0.1111111111111111,0.8888888888888888
decision_rule,24h_prior,june_external,static,market,multiclass_brier,27,0.10947444231456326,0.1199885501708815,0.2222222222222222,0.7777777777777778
decision_rule,24h_prior,all_exact_support,static,market,binary_brier,82,0.0026985879430022645,0.006397299691943262,0.4146341463414634,0.5853658536585366
