scope_type,scope_value,split,model,benchmark,metric,dates,point_model_minus_market,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_rules,development,matern,market,binary_brier,67,-0.0013141947974580096,circular_moving_block,5.0,-0.006438765488643152,0.003548985100148929,10000,20265004,settlement_date
overall,all_rules,development,matern,market,binary_log,67,-0.003072975872176805,circular_moving_block,5.0,-0.023800295892787177,0.01556861226794055,10000,20265004,settlement_date
overall,all_rules,development,matern,market,categorical_log,67,-0.0182089957262825,circular_moving_block,5.0,-0.20675001569461557,0.14963642164009672,10000,20265004,settlement_date
overall,all_rules,development,matern,market,multiclass_brier,67,-0.012703294182961586,circular_moving_block,5.0,-0.0691399951690489,0.04101436650415902,10000,20265004,settlement_date
overall,all_rules,development,matern,market,binary_brier,67,-0.0013141947974580096,circular_moving_block,7.0,-0.006753325725301637,0.003782664476975665,10000,20265104,settlement_date
overall,all_rules,development,matern,market,binary_log,67,-0.003072975872176805,circular_moving_block,7.0,-0.024765681440929842,0.016640797252923542,10000,20265104,settlement_date
overall,all_rules,development,matern,market,categorical_log,67,-0.0182089957262825,circular_moving_block,7.0,-0.2143733344601235,0.16191823781374598,10000,20265104,settlement_date
overall,all_rules,development,matern,market,multiclass_brier,67,-0.012703294182961586,circular_moving_block,7.0,-0.07274772764402601,0.04358727816184775,10000,20265104,settlement_date
overall,all_rules,june_external,matern,market,binary_brier,30,0.009323867184877028,ordinary_date,,0.0038082770324959687,0.014558109361561346,10000,20265804,settlement_date
overall,all_rules,june_external,matern,market,binary_log,30,0.03862806151631949,ordinary_date,,0.021931054759880535,0.054178762177392405,10000,20265804,settlement_date
overall,all_rules,june_external,matern,market,categorical_log,30,0.3573422055687354,ordinary_date,,0.21203729222654194,0.4939119277883643,10000,20265804,settlement_date
overall,all_rules,june_external,matern,market,multiclass_brier,30,0.1017095917289234,ordinary_date,,0.04231821948789283,0.15811715786897548,10000,20265804,settlement_date
overall,all_rules,june_external,matern,market,binary_brier,30,0.009323867184877028,circular_moving_block,3.0,0.004420266189552628,0.014474042971297665,10000,20265904,settlement_date
overall,all_rules,june_external,matern,market,binary_log,30,0.03862806151631949,circular_moving_block,3.0,0.024021170660757367,0.05337018677383757,10000,20265904,settlement_date
overall,all_rules,june_external,matern,market,categorical_log,30,0.3573422055687354,circular_moving_block,3.0,0.22831830337519496,0.4859075984763667,10000,20265904,settlement_date
overall,all_rules,june_external,matern,market,multiclass_brier,30,0.1017095917289234,circular_moving_block,3.0,0.048956587486187836,0.15727271594624648,10000,20265904,settlement_date
overall,all_rules,june_external,matern,market,binary_brier,30,0.009323867184877028,circular_moving_block,5.0,0.004420738057194933,0.01459468095049377,10000,20266004,settlement_date
overall,all_rules,june_external,matern,market,binary_log,30,0.03862806151631949,circular_moving_block,5.0,0.024396712396381602,0.0537073858858825,10000,20266004,settlement_date
overall,all_rules,june_external,matern,market,categorical_log,30,0.3573422055687354,circular_moving_block,5.0,0.23048326686257078,0.4857261932961371,10000,20266004,settlement_date
overall,all_rules,june_external,matern,market,multiclass_brier,30,0.1017095917289234,circular_moving_block,5.0,0.04900100009971477,0.15861465275248973,10000,20266004,settlement_date
overall,all_rules,june_external,matern,market,binary_brier,30,0.009323867184877028,circular_moving_block,7.0,0.00536799252731971,0.01446346017724569,10000,20266104,settlement_date
overall,all_rules,june_external,matern,market,binary_log,30,0.03862806151631949,circular_moving_block,7.0,0.026208772833394737,0.05314138063154645,10000,20266104,settlement_date
overall,all_rules,june_external,matern,market,categorical_log,30,0.3573422055687354,circular_moving_block,7.0,0.24392454181537215,0.4794193112630613,10000,20266104,settlement_date
overall,all_rules,june_external,matern,market,multiclass_brier,30,0.1017095917289234,circular_moving_block,7.0,0.05904252751239602,0.15745399784734976,10000,20266104,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_brier,97,0.09714199183848796,ordinary_date,,0.08582140999199468,0.10738542860385426,10000,20266804,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_log,97,4.264887696473342,ordinary_date,,4.0076875078904,4.487072784164613,10000,20266804,settlement_date
overall,all_rules,all_exact_support,raw,market,categorical_log,97,23.1528708952085,ordinary_date,,21.71901398747826,24.406434558824298,10000,20266804,settlement_date
overall,all_rules,all_exact_support,raw,market,multiclass_brier,97,1.0695088425566295,ordinary_date,,0.9460067463045463,1.180929911309225,10000,20266804,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_brier,97,0.09714199183848796,circular_moving_block,3.0,0.08407830093330208,0.10905982941268354,10000,20266904,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_log,97,4.264887696473342,circular_moving_block,3.0,3.9729435559534663,4.523469369263025,10000,20266904,settlement_date
overall,all_rules,all_exact_support,raw,market,categorical_log,97,23.1528708952085,circular_moving_block,3.0,21.518689741961012,24.608696567232045,10000,20266904,settlement_date
overall,all_rules,all_exact_support,raw,market,multiclass_brier,97,1.0695088425566295,circular_moving_block,3.0,0.9267692938593076,1.1996755579265463,10000,20266904,settlement_date
overall,all_rules,all_exact_support,raw,market,binary_brier,97,0.09714199183848796,circular_moving_block,5.0,0.08373033060030065,0.10915774327846776,10000,20267004,settlement_date
