transition,split,metric,dates,mean,median,q10,q90
24h_to_open,development,market_update_total_variation,53,0.23632467566400456,0.21395523838269404,0.10978690636521483,0.4290953070710976
24h_to_open,development,matern_update_total_variation,53,0.13638554096710923,0.10241868170849217,0.04677129280706174,0.27816964629726726
24h_to_open,development,update_cosine_similarity,53,0.22127675630222815,0.38891363616416946,-0.6537917779384179,0.7439048184252784
24h_to_open,development,event_sign_alignment_fraction,53,0.6466552315608918,0.6363636363636364,0.2727272727272727,0.9090909090909091
24h_to_open,development,realised_probability_change_market,53,0.07309917921525376,0.05718207716065971,-0.10380395186462421,0.2543775521642903
24h_to_open,development,realised_probability_change_matern,53,0.02899235223469437,0.028898476640814907,-0.008911733287323175,0.08516383590473832
24h_to_open,development,market_movement_towards_updated_matern,53,-0.08634058601333024,-0.0906561530788169,-0.22870808007532972,0.08386371279625857
24h_to_open,june_external,market_update_total_variation,27,0.1834456977389102,0.20197887003127202,0.11589730874768507,0.2566416497980072
24h_to_open,june_external,matern_update_total_variation,27,0.16607105770720304,0.10720786741878388,0.04432500117652381,0.38420786066100376
24h_to_open,june_external,update_cosine_similarity,27,0.20965612365971373,0.2736083148908077,-0.535125503737268,0.8573982554912135
24h_to_open,june_external,event_sign_alignment_fraction,27,0.6094276094276095,0.6363636363636364,0.2727272727272727,0.9454545454545457
24h_to_open,june_external,realised_probability_change_market,27,0.06329595927444799,0.06938297369279806,-0.0738917779414276,0.20093992084496667
24h_to_open,june_external,realised_probability_change_matern,27,0.0314490423709645,0.028877002149098413,0.013573116888138594,0.06447537374024204
24h_to_open,june_external,market_movement_towards_updated_matern,27,-0.050328850287976686,-0.05276660757564078,-0.145080439394261,0.07802809940165405
24h_to_open,all_exact_support,market_update_total_variation,80,0.21847802061428526,0.20476237944793318,0.11249946120781891,0.32885693387696646
24h_to_open,all_exact_support,matern_update_total_variation,80,0.1464044028668909,0.10692082632722767,0.0444795167541975,0.2862840115601393
24h_to_open,all_exact_support,update_cosine_similarity,80,0.21735479278537956,0.38008478041117555,-0.6110372153764064,0.7593939464119281
24h_to_open,all_exact_support,event_sign_alignment_fraction,80,0.634090909090909,0.6363636363636364,0.2727272727272727,0.9090909090909091
24h_to_open,all_exact_support,realised_probability_change_market,80,0.06979059248523181,0.06614213807981201,-0.10242219366238062,0.2050455658734878
24h_to_open,all_exact_support,realised_probability_change_matern,80,0.02982148515568554,0.02888773939495666,-0.0068690672156132716,0.08614190171819391
24h_to_open,all_exact_support,market_movement_towards_updated_matern,80,-0.0741866252060234,-0.07646976696622695,-0.21751730063878577,0.08677650291923106
