scope_type,scope_value,split,metric,dates,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed
decision_rule,24h_prior,development,categorical_log_matern_minus_market,55,0.011153015313076718,circular_moving_block,7.0,-0.12995864557135775,0.1514682999135662,10000,20464104
decision_rule,24h_prior,development,multiclass_brier_winner_component_matern_minus_market,55,0.023320424596022085,circular_moving_block,7.0,-0.019389309059464586,0.06581632736427735,10000,20464104
decision_rule,24h_prior,development,multiclass_brier_nonwinner_component_matern_minus_market,55,-0.03311136177747872,circular_moving_block,7.0,-0.043253139311583685,-0.022764600533786303,10000,20464104
decision_rule,24h_prior,development,multiclass_brier_total_matern_minus_market,55,-0.009790937181456643,circular_moving_block,7.0,-0.053644024547239086,0.03359118686288408,10000,20464104
decision_rule,24h_prior,june_external,total_variation_market_matern,27,0.2929132645810112,ordinary_date,,0.24569072360185532,0.3432677896964405,10000,20464804
decision_rule,24h_prior,june_external,expected_rank_market_minus_matern,27,0.6245828848720855,ordinary_date,,0.3213572744435124,0.9297125010357318,10000,20464804
decision_rule,24h_prior,june_external,modal_disagreement,27,0.8518518518518519,ordinary_date,,0.7037037037037037,0.9629629629629629,10000,20464804
decision_rule,24h_prior,june_external,realised_event_probability_market_minus_matern,27,0.08884373083570361,ordinary_date,,0.05503007393947398,0.11883472033604218,10000,20464804
decision_rule,24h_prior,june_external,categorical_log_matern_minus_market,27,0.37479750896870273,ordinary_date,,0.22102172668005757,0.5125090771846054,10000,20464804
decision_rule,24h_prior,june_external,multiclass_brier_winner_component_matern_minus_market,27,0.1341144532067663,ordinary_date,,0.08369846596459377,0.17887043899757665,10000,20464804
decision_rule,24h_prior,june_external,multiclass_brier_nonwinner_component_matern_minus_market,27,-0.024694336953455,ordinary_date,,-0.044689802633237054,-0.005119279321761928,10000,20464804
decision_rule,24h_prior,june_external,multiclass_brier_total_matern_minus_market,27,0.1094201162533113,ordinary_date,,0.04472361975734152,0.1675425055920366,10000,20464804
decision_rule,24h_prior,june_external,total_variation_market_matern,27,0.2929132645810112,circular_moving_block,3.0,0.2461256694185375,0.339649221578682,10000,20464904
decision_rule,24h_prior,june_external,expected_rank_market_minus_matern,27,0.6245828848720855,circular_moving_block,3.0,0.34839433431340566,0.8770425871838732,10000,20464904
