stage,evidence_source,source_path,source_row,chronology_block,decision_rule,strategy,metric,numeric_value,text_value
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,model_probability_books_available,159,159
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,model_reselected,0,False
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,output_hashes.outputs/diagnostics/11_common_support_missing_books.csv,,cac932aff89291c801f5450ff0aa487e5f30e8520199783d44c13a2351536b63
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,probability_calibration_reselected,0,False
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,score_difference_definition,,model score minus market score; negative favours the model
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,selected_model,,pooled_empirical_residual
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,trading_returns_calculated,0,False
11_market_comparison,manifest,data/manifests/11_market_comparison_manifest.json,,,,,trading_strategy_selected,0,False
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,dates,30,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,mean_date_brier_score_difference_model_minus_market,0.0723386228973,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,mean_date_log_score_difference_model_minus_market,0.28973154296,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,mean_date_market_brier_score,0.648470619527,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,mean_date_market_log_score,1.26092277083,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,mean_date_model_brier_score,0.720809242424,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,mean_date_model_log_score,1.55065431379,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,model_brier_score_date_win_share,0.233333333333,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,model_log_score_date_win_share,0.2,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,probability_books,114,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,standard_error_date_brier_score_difference_model_minus_market,0.0285968379822,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,standard_error_date_log_score_difference_model_minus_market,0.0888071897979,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,standard_error_date_market_brier_score,0.036495773035,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,standard_error_date_market_log_score,0.0899401749117,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,standard_error_date_model_brier_score,0.0305344306566,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,0,external_test,,,standard_error_date_model_log_score,0.128833498346,
11_market_comparison_summary,final_table,outputs/final_tables/11_common_support_block_summary.csv,1,holdout,,,dates,10,
