strategy_id,model,decision_rule,rule_filter,side_mode,top_k,sizing_rule,ranking_signal,edge_threshold,stability_filter,execution_track,complexity_score,dates,total_net_pnl,mean_daily_net_pnl,daily_pnl_sd,sharpe,opportunity_annualised_sharpe,probabilistic_sharpe_vs_zero,maximum_drawdown,expected_shortfall_5pct,positive_date_fraction,active_dates,position_count,mean_positions_per_active_date,total_entry_cash,return_on_entry_cash,profit_factor_date_level,gross_pnl_before_cost,break_even_cost_per_position,threshold_distance,top_k_distance
S041057,matern,24h_prior,none,short_only,2,one_share,edge,0.06,robust_0.10c,includes_synthetic_short_yes,2,97,-0.13000000000000222,-0.0013402061855670333,0.42522390882622896,-0.0031517658291286697,-0.06021440161794388,0.4876856296480843,6.104999999999999,-0.661,0.38144329896907214,80,136,1.7,93.13000000000001,-0.0013958982068077118,0.99268018018018,1.2299999999999978,0.009044117647058807,0.14,1
S041597,matern,24h_prior,none,short_only,3,one_share,edge,0.06,robust_0.10c,includes_synthetic_short_yes,2,97,-0.21000000000000224,-0.0021649484536082706,0.42102362068565435,-0.0051421068729649005,-0.09823981386862658,0.47992197021833144,6.594999999999999,-0.661,0.36082474226804123,80,145,1.8125,100.21000000000001,-0.002095599241592678,0.9878822850548178,1.2399999999999978,0.00855172413793102,0.14,2
S042137,matern,24h_prior,none,short_only,5,one_share,edge,0.06,robust_0.10c,includes_synthetic_short_yes,2,97,-0.21000000000000224,-0.0021649484536082706,0.42102362068565435,-0.0051421068729649005,-0.09823981386862658,0.47992197021833144,6.594999999999999,-0.661,0.36082474226804123,80,145,1.8125,100.21000000000001,-0.002095599241592678,0.9878822850548178,1.2399999999999978,0.00855172413793102,0.14,4
S042677,matern,24h_prior,none,short_only,11,one_share,edge,0.06,robust_0.10c,includes_synthetic_short_yes,2,97,-0.21000000000000224,-0.0021649484536082706,0.42102362068565435,-0.0051421068729649005,-0.09823981386862658,0.47992197021833144,6.594999999999999,-0.661,0.36082474226804123,80,145,1.8125,100.21000000000001,-0.002095599241592678,0.9878822850548178,1.2399999999999978,0.00855172413793102,0.14,10
S040514,matern,24h_prior,none,short_only,1,one_share,edge,0.05,robust_0.10c,includes_synthetic_short_yes,1,97,5.685,0.05860824742268041,0.4103572771759647,0.14282248831071342,2.7286198078976325,0.9039502544473896,4.419999999999998,-0.7020000000000001,0.6185567010309279,82,82,1.0,54.315,0.10466721900027616,1.3946546338077055,6.505,0.07932926829268293,0.15000000000000002,0
S041054,matern,24h_prior,none,short_only,2,one_share,edge,0.05,robust_0.10c,includes_synthetic_short_yes,2,97,0.6549999999999974,0.006752577319587602,0.4185870586202229,0.016131834896773778,0.3081982729590164,0.5629138037725794,5.895000000000001,-0.647,0.3917525773195876,82,144,1.7560975609756098,99.34500000000001,0.006593185364135058,1.0379380249058785,2.094999999999997,0.01454861111111109,0.15000000000000002,1
S041594,matern,24h_prior,none,short_only,3,one_share,edge,0.05,robust_0.10c,includes_synthetic_short_yes,2,97,1.7109999999999976,0.017639175257731933,0.41982561324036205,0.04201548143188921,0.8027046456717445,0.6608145718959285,6.259000000000001,-0.636,0.3711340206185567,82,161,1.9634146341463414,113.289,0.015102966748757581,1.1049049662783568,3.320999999999998,0.020627329192546572,0.15000000000000002,2
S042134,matern,24h_prior,none,short_only,5,one_share,edge,0.05,robust_0.10c,includes_synthetic_short_yes,2,97,1.0394999999999976,0.0107164948453608,0.4137007580668495,0.02590397681511894,0.494894782166826,0.600651557721269,6.1955,-0.636,0.36082474226804123,82,163,1.9878048780487805,114.96050000000001,0.00904223624636286,1.0638258680502255,2.6694999999999975,0.016377300613496917,0.15000000000000002,4
S042674,matern,24h_prior,none,short_only,11,one_share,edge,0.05,robust_0.10c,includes_synthetic_short_yes,2,97,1.0394999999999976,0.0107164948453608,0.4137007580668495,0.02590397681511894,0.494894782166826,0.600651557721269,6.1955,-0.636,0.36082474226804123,82,163,1.9878048780487805,114.96050000000001,0.00904223624636286,1.0638258680502255,2.6694999999999975,0.016377300613496917,0.15000000000000002,10
S040511,matern,24h_prior,none,short_only,1,one_share,edge,0.04,robust_0.10c,includes_synthetic_short_yes,1,97,5.685,0.05860824742268041,0.4103572771759647,0.14282248831071342,2.7286198078976325,0.9039502544473896,4.419999999999998,-0.7020000000000001,0.6185567010309279,82,82,1.0,54.315,0.10466721900027616,1.3946546338077055,6.505,0.07932926829268293,0.16,0
S041051,matern,24h_prior,none,short_only,2,one_share,edge,0.04,robust_0.10c,includes_synthetic_short_yes,2,97,0.2684999999999976,0.002768041237113377,0.41941302027019256,0.006599798059035365,0.12608896487527027,0.5258089533897969,5.9765,-0.5900000000000001,0.3711340206185567,82,152,1.853658536585366,105.7315,0.002539451346098349,1.015290432801822,1.7884999999999975,0.011766447368421036,0.16,1
S041591,matern,24h_prior,none,short_only,3,one_share,edge,0.04,robust_0.10c,includes_synthetic_short_yes,2,97,0.7194999999999971,0.007417525773195847,0.41663116107313397,0.017803578959601152,0.3401368984340346,0.5695911055298832,6.2455,-0.5710000000000001,0.32989690721649484,82,179,2.182926829268293,128.2805,0.00560880258496028,1.043738601823708,2.5094999999999974,0.014019553072625684,0.16,2
S042131,matern,24h_prior,none,short_only,5,one_share,edge,0.04,robust_0.10c,includes_synthetic_short_yes,2,97,0.40749999999999714,0.004201030927835022,0.4146012809753802,0.010132701273743742,0.19358498602052984,0.5396659264135968,5.8774999999999995,-0.5710000000000001,0.31958762886597936,82,184,2.2439024390243905,132.5925,0.0030733261685238393,1.024943380057538,2.2474999999999974,0.012214673913043464,0.16,4
S042671,matern,24h_prior,none,short_only,11,one_share,edge,0.04,robust_0.10c,includes_synthetic_short_yes,2,97,0.40749999999999714,0.004201030927835022,0.4146012809753802,0.010132701273743742,0.19358498602052984,0.5396659264135968,5.8774999999999995,-0.5710000000000001,0.31958762886597936,82,184,2.2439024390243905,132.5925,0.0030733261685238393,1.024943380057538,2.2474999999999974,0.012214673913043464,0.16,10
S040508,matern,24h_prior,none,short_only,1,one_share,edge,0.03,robust_0.10c,includes_synthetic_short_yes,1,97,5.685,0.05860824742268041,0.4103572771759647,0.14282248831071342,2.7286198078976325,0.9039502544473896,4.419999999999998,-0.7020000000000001,0.6185567010309279,82,82,1.0,54.315,0.10466721900027616,1.3946546338077055,6.505,0.07932926829268293,0.17,0
S041048,matern,24h_prior,none,short_only,2,one_share,edge,0.03,robust_0.10c,includes_synthetic_short_yes,2,97,-0.6115000000000024,-0.006304123711340231,0.4227487837350742,-0.014912221995393991,-0.28489760119482926,0.44207793643991666,6.8565000000000005,-0.608,0.36082474226804123,82,153,1.8658536585365855,106.61149999999999,-0.005735778973187718,0.966317818782704,0.9184999999999977,0.006003267973856194,0.17,1
S041588,matern,24h_prior,none,short_only,3,one_share,edge,0.03,robust_0.10c,includes_synthetic_short_yes,2,97,0.07449999999999735,0.0007680412371133747,0.41531942439584774,0.001849278391519059,0.03533041406223328,0.5072324881816369,6.7250000000000005,-0.5650000000000001,0.30927835051546393,82,187,2.2804878048780486,134.9255,0.0005521565604722409,1.0045180266230025,1.9444999999999975,0.01039839572192512,0.17,2
S042128,matern,24h_prior,none,short_only,5,one_share,edge,0.03,robust_0.10c,includes_synthetic_short_yes,2,97,0.1844999999999969,0.001902061855670071,0.4099896317234186,0.00463929257838699,0.08863356025893894,0.5181576388374382,6.276000000000001,-0.5588000000000001,0.29896907216494845,82,197,2.402439024390244,143.8155,0.0012828937075627933,1.0115641355103575,2.154499999999997,0.010936548223350238,0.17,4
