weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.4020000000,0.5980000000,100,385,1.4229209244
0.4030000000,0.5970000000,100,385,1.4230200053
0.4040000000,0.5960000000,100,385,1.4231194449
0.4050000000,0.5950000000,100,385,1.4232192429
0.4060000000,0.5940000000,100,385,1.4233193991
0.4070000000,0.5930000000,100,385,1.4234199131
0.4080000000,0.5920000000,100,385,1.4235207847
0.4090000000,0.5910000000,100,385,1.4236220137
0.4100000000,0.5900000000,100,385,1.4237235997
0.4110000000,0.5890000000,100,385,1.4238255424
0.4120000000,0.5880000000,100,385,1.4239278417
0.4130000000,0.5870000000,100,385,1.4240304972
0.4140000000,0.5860000000,100,385,1.4241335087
0.4150000000,0.5850000000,100,385,1.4242368759
0.4160000000,0.5840000000,100,385,1.4243405985
0.4170000000,0.5830000000,100,385,1.4244446764
0.4180000000,0.5820000000,100,385,1.4245491092
0.4190000000,0.5810000000,100,385,1.4246538967
0.4200000000,0.5800000000,100,385,1.4247590387
0.4210000000,0.5790000000,100,385,1.4248645349
0.4220000000,0.5780000000,100,385,1.4249703851
0.4230000000,0.5770000000,100,385,1.4250765890
0.4240000000,0.5760000000,100,385,1.4251831464
0.4250000000,0.5750000000,100,385,1.4252900571
0.4260000000,0.5740000000,100,385,1.4253973208
0.4270000000,0.5730000000,100,385,1.4255049374
0.4280000000,0.5720000000,100,385,1.4256129065
0.4290000000,0.5710000000,100,385,1.4257212280
0.4300000000,0.5700000000,100,385,1.4258299016
0.4310000000,0.5690000000,100,385,1.4259389271
0.4320000000,0.5680000000,100,385,1.4260483044
0.4330000000,0.5670000000,100,385,1.4261580331
0.4340000000,0.5660000000,100,385,1.4262681131
0.4350000000,0.5650000000,100,385,1.4263785442
0.4360000000,0.5640000000,100,385,1.4264893262
0.4370000000,0.5630000000,100,385,1.4266004589
0.4380000000,0.5620000000,100,385,1.4267119420
0.4390000000,0.5610000000,100,385,1.4268237753
0.4400000000,0.5600000000,100,385,1.4269359588
0.4410000000,0.5590000000,100,385,1.4270484921
0.4420000000,0.5580000000,100,385,1.4271613751
0.4430000000,0.5570000000,100,385,1.4272746075
0.4440000000,0.5560000000,100,385,1.4273881893
0.4450000000,0.5550000000,100,385,1.4275021203
0.4460000000,0.5540000000,100,385,1.4276164001
