event_date,empirical_period,rules,static_binary_brier,static_binary_log,static_categorical_log,static_multiclass_brier,selected_gp_binary_brier,selected_gp_binary_log,selected_gp_categorical_log,selected_gp_multiclass_brier,pool_binary_brier,pool_binary_log,pool_categorical_log,pool_multiclass_brier,market_binary_brier,market_binary_log,market_categorical_log,market_multiclass_brier
2026-05-17,market_development,4,0.0790694568,0.2635918107,1.9672726530,0.8697640245,0.0790205577,0.2631961478,1.9631123112,0.8692261349,0.0747424465,0.2399166601,1.7345126390,0.8221669114,0.0763297898,0.2464444694,1.7963566673,0.8359875847
2026-05-18,market_development,4,0.0776182675,0.2527883532,1.8556357162,0.8538009429,0.0773178147,0.2527189260,1.8570958971,0.8504959620,0.0724634432,0.2259831179,1.5913733013,0.7970978754,0.0723067273,0.2228139416,1.5549429333,0.7942096934
2026-05-21,market_development,3,0.0800752483,0.2605782932,1.9244116893,0.8808277310,0.0795881282,0.2598018877,1.9195593582,0.8754694102,0.0916931202,0.3149819053,2.4453057614,1.0086243222,0.0960749621,0.3338789919,2.6196968042,1.0395841819
2026-05-22,market_development,4,0.0431074738,0.1434416510,0.9111186071,0.4741822119,0.0417001207,0.1405183691,0.8909633908,0.4587013279,0.0308088437,0.1118065808,0.6900096731,0.3388972810,0.0283180057,0.1055045877,0.6573434562,0.3217532545
2026-05-23,market_development,4,0.0617356986,0.1993272675,1.3762329651,0.6790926851,0.0627886065,0.2030382780,1.4094704774,0.6906746715,0.0837785435,0.2612280544,1.9003715910,0.9215639787,0.0909492784,0.2803089668,2.0509946483,0.9843797342
2026-05-24,market_development,4,0.0669465762,0.2022707277,1.3663275036,0.7364123384,0.0685187460,0.2062551480,1.3975266724,0.7537062055,0.0506365724,0.1560627239,0.9859888473,0.5570022967,0.0472167670,0.1471355812,0.9184330346,0.5229195468
2026-05-25,market_development,4,0.0730680015,0.2310579443,1.6453499553,0.8037480160,0.0727874911,0.2309505937,1.6464711940,0.8006624021,0.0584921272,0.1794093673,1.1783652949,0.6434133993,0.0562729148,0.1713466643,1.1052786184,0.6221123179
2026-05-26,market_development,4,0.0700439235,0.2203136023,1.5479388858,0.7704831583,0.0700361855,0.2208632577,1.5543204698,0.7703980406,0.0536503907,0.1645276051,1.0534917829,0.5901542980,0.0517191875,0.1560434386,0.9751226108,0.5716568882
2026-05-27,market_development,4,0.0740817280,0.2344838979,1.6761253592,0.8148990075,0.0734696687,0.2333474019,1.6681804152,0.8081663560,0.0590100503,0.1812850401,1.1949395445,0.6491105534,0.0567327898,0.1730972231,1.1205870787,0.6260593836
2026-05-28,market_development,4,0.0365262884,0.1270323633,0.7903270336,0.4017891729,0.0348027264,0.1232868074,0.7649393215,0.3828299907,0.0262543706,0.0938151394,0.5654413205,0.2887980761,0.0256834375,0.0886775762,0.5369885364,0.2859924015
2026-05-29,market_development,4,0.0071857596,0.0459607972,0.2612843115,0.0790433558,0.0072855847,0.0465592892,0.2650958536,0.0801414318,0.0084279149,0.0485353266,0.2765464750,0.0927070641,0.0080179545,0.0471920273,0.2795398084,0.0964357261
2026-05-30,market_development,4,0.0733980190,0.2315941944,1.6489955410,0.8073782088,0.0728696804,0.2305052164,1.6408341244,0.8015664846,0.0741112107,0.2210759834,1.5190043854,0.8152233181,0.0755678636,0.2207205697,1.4965003478,0.8254683805
2026-05-31,market_development,4,0.0670486863,0.2102008366,1.4565040107,0.7375355496,0.0675590715,0.2122871593,1.4757956238,0.7431497869,0.0838978989,0.2453380513,1.7056377362,0.9228768877,0.0913380568,0.2587954067,1.7727087777,0.9940878729
2026-06-01,market_development,4,0.0780938124,0.2496629383,1.8165536174,0.8590319368,0.0769211502,0.2463422233,1.7881650288,0.8461326527,0.0577285453,0.1796496268,1.1884042517,0.6350139988,0.0554242841,0.1702119960,1.1007958808,0.6085718610
2026-06-02,market_development,4,0.0707117994,0.2220960835,1.5628166409,0.7778297932,0.0703768625,0.2215998990,1.5599227476,0.7741454870,0.0530295071,0.1687003512,1.1077942586,0.5833245783,0.0502853920,0.1602858095,1.0390153856,0.5540954648
2026-06-03,market_development,4,0.0719011700,0.2253203444,1.5907027583,0.7909128700,0.0687349926,0.2158466461,1.5085857688,0.7560849181,0.0448434957,0.1440061514,0.9068628466,0.4932784524,0.0411729602,0.1325631874,0.8200353182,0.4592590240
2026-06-04,market_development,4,0.0153155492,0.0718105423,0.4189997231,0.1684710414,0.0149215834,0.0710306494,0.4146883007,0.1641374173,0.0165249942,0.0721779474,0.4180904128,0.1817749359,0.0163619773,0.0712060264,0.4207387537,0.1885610263
2026-06-05,market_development,4,0.0697007967,0.2142681517,1.4754279439,0.7667087640,0.0707085230,0.2175268267,1.5037150700,0.7777937535,0.0499534262,0.1609067990,1.0451603277,0.5494876884,0.0461377727,0.1513266365,0.9726688362,0.5142559045
2026-06-06,market_development,2,0.0933306538,0.3224285358,2.5204005764,1.0266371914,0.0928215628,0.3234739249,2.5361202233,1.0210371907,0.0982809734,0.3308161751,2.5728108228,1.0810907074,0.1022093295,0.3358585993,2.5919697968,1.1015599743
2026-06-07,market_development,2,0.0968143796,0.3490436568,2.7925448044,1.0649581758,0.0941486834,0.3329029063,2.6319222816,1.0356355177,0.0960800795,0.3330834163,2.6185215772,1.0568808748,0.0979740909,0.3350587089,2.6239879999,1.0635535845
2026-06-08,market_development,3,0.0873981018,0.2902187554,2.2027410400,0.9613791196,0.0854634537,0.2834955435,2.1416692696,0.9400979903,0.0616098898,0.1980951158,1.3627130134,0.6777087876,0.0586834470,0.1864648620,1.2565096473,0.6497457570
2026-06-09,market_development,4,0.0651651830,0.2101946832,1.4716423180,0.7168170126,0.0658494868,0.2130432769,1.4980074918,0.7243443549,0.0705632313,0.2211078831,1.5493927733,0.7761955444,0.0734866307,0.2250616165,1.5667108880,0.8059951749
2026-06-10,market_development,4,0.0757399026,0.2562293074,1.9076565307,0.8331389281,0.0765326514,0.2596082867,1.9394954990,0.8418591657,0.0759366470,0.2405286106,1.7289060018,0.8353031172,0.0763623523,0.2388806928,1.7047687777,0.8392078329
2026-06-11,market_development,4,0.0648568677,0.2090807024,1.4613454302,0.7134255444,0.0651984387,0.2109855370,1.4798349725,0.7171828258,0.0530702379,0.1733847201,1.1563269150,0.5837726165,0.0502753580,0.1662348245,1.1007885114,0.5618780260
2026-06-12,market_development,4,0.0721283779,0.2321573759,1.6646081069,0.7934121572,0.0713514647,0.2307329200,1.6545139916,0.7848661114,0.0667012765,0.2049253434,1.3982919989,0.7337140414,0.0663517614,0.2017627844,1.3626322882,0.7300352812
2026-06-13,market_development,4,0.0632346133,0.2043391237,1.4207171824,0.6955807466,0.0642174101,0.2080227141,1.4541153105,0.7063915106,0.0518720042,0.1682916987,1.1091980419,0.5705920462,0.0490372102,0.1608215161,1.0506945591,0.5492188748
