source,grouping_definition,target_date,decision_rule,request_id,run_id,forecast_issue_time_utc,decision_time_utc,source_rows,target_day_rows,unique_local_hours,conflicting_hours,earliest_valid_hour_hkt,latest_valid_hour_hkt,forecast_daily_max_c,source_preference,status,reason,selection_rule
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-10,event_day_open,,,2026-06-09T06:00:00Z,2026-06-09T16:00:00Z,24,24,24,0,2026-06-10 00:00:00+08:00,2026-06-10 23:00:00+08:00,28.3,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-11,12h_prior,,,2026-06-09T18:00:00Z,2026-06-10T04:00:00Z,24,24,24,0,2026-06-11 00:00:00+08:00,2026-06-11 23:00:00+08:00,26.8,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-11,24h_prior,,,2026-06-09T06:00:00Z,2026-06-09T16:00:00Z,24,24,24,0,2026-06-11 00:00:00+08:00,2026-06-11 23:00:00+08:00,27.2,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-11,6h_prior,,,2026-06-10T00:00:00Z,2026-06-10T10:00:00Z,24,24,24,0,2026-06-11 00:00:00+08:00,2026-06-11 23:00:00+08:00,27.8,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-11,event_day_open,,,2026-06-10T06:00:00Z,2026-06-10T16:00:00Z,24,24,24,0,2026-06-11 00:00:00+08:00,2026-06-11 23:00:00+08:00,28.6,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-12,12h_prior,,,2026-06-10T18:00:00Z,2026-06-11T04:00:00Z,24,24,24,0,2026-06-12 00:00:00+08:00,2026-06-12 23:00:00+08:00,28.3,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-12,24h_prior,,,2026-06-10T06:00:00Z,2026-06-10T16:00:00Z,24,24,24,0,2026-06-12 00:00:00+08:00,2026-06-12 23:00:00+08:00,27.4,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-12,6h_prior,,,2026-06-11T00:00:00Z,2026-06-11T10:00:00Z,24,24,24,0,2026-06-12 00:00:00+08:00,2026-06-12 23:00:00+08:00,28.1,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-12,event_day_open,,,2026-06-11T06:00:00Z,2026-06-11T16:00:00Z,24,24,24,0,2026-06-12 00:00:00+08:00,2026-06-12 23:00:00+08:00,27.7,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
data/interim/notebook02_sources/hourly_forecasts/03_18q_june_2026_request_hourly_paths.csv,source_target_date_decision_rule_issue_time,2026-06-13,12h_prior,,,2026-06-11T18:00:00Z,2026-06-12T04:00:00Z,24,24,24,0,2026-06-13 00:00:00+08:00,2026-06-13 23:00:00+08:00,29.3,1900.0,ADMITTED,,latest_admissible_issue_time_then_source_preference
