target_month,decision_rule,n,unique_dates,mean_forecast_c,mean_hko_c,mean_residual_c,forecast_bias_c,mae_c,rmse_c,median_absolute_error_c,residual_sd_c,residual_q05_c,residual_q25_c,residual_q50_c,residual_q75_c,residual_q95_c,max_absolute_error_c,forecast_hko_correlation
2025-01,event_day_open,31,31,18.8548387097,19.7612903226,0.9064516129,-0.9064516129,0.9967741935,1.3813270851,0.7000000000,1.0595393602,-0.3500000000,0.4000000000,0.7000000000,1.2000000000,2.2500000000,5.2000000000,0.7871192214
2025-02,24h_prior,28,28,19.0000000000,19.9392857143,0.9392857143,-0.9392857143,1.2250000000,1.5774074571,1.0000000000,1.2905179224,-0.7850000000,0.0000000000,0.8500000000,1.6250000000,2.7250000000,4.0000000000,0.8687787844
2025-02,12h_prior,28,28,18.7785714286,19.9392857143,1.1607142857,-1.1607142857,1.3678571429,1.6343412828,1.2000000000,1.1716842217,-0.4900000000,0.4750000000,1.2000000000,1.9250000000,2.8550000000,3.3000000000,0.9077295750
2025-02,6h_prior,28,28,19.0500000000,19.9392857143,0.8892857143,-0.8892857143,1.1750000000,1.4460537433,1.1500000000,1.1612060415,-0.6600000000,0.2750000000,1.0000000000,1.5250000000,2.6000000000,3.1000000000,0.8962994625
2025-02,event_day_open,28,28,19.0500000000,19.9392857143,0.8892857143,-0.8892857143,1.1750000000,1.4460537433,1.1500000000,1.1612060415,-0.6600000000,0.2750000000,1.0000000000,1.5250000000,2.6000000000,3.1000000000,0.8962994625
2025-03,24h_prior,25,25,22.0560000000,23.5160000000,1.4600000000,-1.4600000000,1.8680000000,2.1911640742,1.7000000000,1.6675830814,-1.5000000000,0.8000000000,1.4000000000,2.4000000000,3.7400000000,5.0000000000,0.9225190423
2025-03,12h_prior,22,22,22.2136363636,23.4863636364,1.2727272727,-1.2727272727,1.6090909091,2.1449729814,1.2000000000,1.7672097507,-0.5800000000,0.1000000000,1.1000000000,2.2750000000,3.8000000000,5.1000000000,0.9010203468
2025-03,6h_prior,25,25,22.4080000000,23.7160000000,1.3080000000,-1.3080000000,1.6040000000,1.9331839023,1.5000000000,1.4528477782,-1.2400000000,0.5000000000,1.4000000000,2.3000000000,3.5800000000,3.7000000000,0.9369547155
2025-03,event_day_open,25,25,21.9480000000,23.1800000000,1.2320000000,-1.2320000000,1.7200000000,2.0059910269,1.6000000000,1.6157351268,-1.9000000000,0.5000000000,1.5000000000,2.3000000000,3.5800000000,3.7000000000,0.9333408507
2025-04,24h_prior,29,29,25.6344827586,26.8103448276,1.1758620690,-1.1758620690,1.8310344828,2.0605489727,1.9000000000,1.7220534197,-1.8000000000,0.1000000000,1.7000000000,2.3000000000,3.2600000000,3.9000000000,0.8411101250
2025-04,12h_prior,29,29,25.5137931034,26.8103448276,1.2965517241,-1.2965517241,1.6965517241,1.9812918113,1.7000000000,1.5246739133,-0.9600000000,0.3000000000,1.7000000000,2.4000000000,3.2800000000,3.9000000000,0.8884650844
2025-04,6h_prior,30,30,25.5133333333,26.6966666667,1.1833333333,-1.1833333333,1.8100000000,2.0488207991,1.7500000000,1.7011321450,-2.0750000000,0.0500000000,1.5500000000,2.4750000000,3.0750000000,4.0000000000,0.8431191902
2025-04,event_day_open,29,29,25.6724137931,26.9172413793,1.2448275862,-1.2448275862,1.8517241379,2.0808652047,1.8000000000,1.6969691905,-2.1000000000,0.5000000000,1.6000000000,2.5000000000,3.1000000000,4.0000000000,0.8201794135
2025-05,24h_prior,31,31,28.0838709677,29.9580645161,1.8741935484,-1.8741935484,2.1580645161,2.8104069273,1.6000000000,2.1288444036,-1.1500000000,0.5000000000,1.5000000000,2.9500000000,4.4500000000,9.0000000000,0.4751796004
2025-05,12h_prior,31,31,28.0935483871,29.9580645161,1.8645161290,-1.8645161290,2.1225806452,2.7564586912,1.7000000000,2.0637422945,-0.9000000000,0.3000000000,1.7000000000,3.0500000000,4.9500000000,7.6000000000,0.4863731675
2025-05,6h_prior,31,31,28.1612903226,29.9580645161,1.7967741935,-1.7967741935,2.0612903226,2.5052847369,1.9000000000,1.7747269970,-0.9000000000,0.7000000000,1.9000000000,2.8500000000,4.1500000000,6.5000000000,0.5984518841
2025-05,event_day_open,31,31,28.1612903226,29.9580645161,1.7967741935,-1.7967741935,2.0612903226,2.5052847369,1.9000000000,1.7747269970,-0.9000000000,0.7000000000,1.9000000000,2.8500000000,4.1500000000,6.5000000000,0.5984518841
2025-06,24h_prior,23,23,29.1608695652,31.5913043478,2.4304347826,-2.4304347826,2.4304347826,2.6546923182,2.3000000000,1.0918852681,0.7300000000,1.8000000000,2.3000000000,3.1500000000,3.9900000000,4.5000000000,0.7683090140
2025-06,12h_prior,21,21,29.1333333333,31.4952380952,2.3619047619,-2.3619047619,2.3904761905,2.6633312474,2.6000000000,1.2611408290,0.1000000000,1.6000000000,2.6000000000,3.5000000000,4.0000000000,4.0000000000,0.6861545848
2025-06,6h_prior,21,21,29.2761904762,31.6571428571,2.3809523810,-2.3809523810,2.3809523810,2.6541970358,2.3000000000,1.2019230623,0.4000000000,1.9000000000,2.3000000000,3.2000000000,4.2000000000,4.3000000000,0.7558278680
2025-06,event_day_open,22,22,29.3000000000,31.6636363636,2.3636363636,-2.3636363636,2.3636363636,2.6167293951,2.4000000000,1.1491385819,0.4050000000,1.9250000000,2.4000000000,3.1750000000,4.1800000000,4.3000000000,0.7859781569
2025-07,24h_prior,30,30,30.6700000000,32.4400000000,1.7700000000,-1.7700000000,1.8833333333,2.2688469906,1.8500000000,1.4436901951,-0.1950000000,0.6500000000,1.8500000000,2.5250000000,4.5200000000,5.0000000000,0.7122551049
2025-07,12h_prior,31,31,30.6838709677,32.3548387097,1.6709677419,-1.6709677419,1.9225806452,2.2745435558,1.9000000000,1.5686923532,-0.6500000000,0.8000000000,1.9000000000,2.6500000000,4.2000000000,4.6000000000,0.6472614211
2025-07,6h_prior,31,31,30.6516129032,32.3548387097,1.7032258065,-1.7032258065,1.8838709677,2.2115532419,1.8000000000,1.4339883475,-0.4000000000,0.7500000000,1.6000000000,2.8000000000,3.5500000000,4.7000000000,0.7184869534
2025-07,event_day_open,31,31,30.6064516129,32.3548387097,1.7483870968,-1.7483870968,1.9290322581,2.2540286514,2.0000000000,1.4461145570,-0.4000000000,0.7500000000,1.8000000000,2.8500000000,3.5500000000,4.7000000000,0.7214243111
2025-08,24h_prior,30,30,28.9566666667,31.7066666667,2.7500000000,-2.7500000000,2.7766666667,2.9872506869,2.7500000000,1.1866353476,1.0900000000,1.9250000000,2.7500000000,3.4500000000,4.6550000000,4.8000000000,0.7474542395
2025-08,12h_prior,29,29,29.0310344828,31.7620689655,2.7310344828,-2.7310344828,2.7310344828,2.9947079761,2.8000000000,1.2504580442,0.4400000000,2.2000000000,2.8000000000,3.6000000000,4.5000000000,4.6000000000,0.7147216552
2025-08,6h_prior,28,28,29.1321428571,31.6892857143,2.5571428571,-2.5571428571,2.6071428571,2.8246365126,2.7500000000,1.2218469842,0.5050000000,1.8750000000,2.7500000000,3.3250000000,4.1650000000,4.5000000000,0.7194967086
2025-08,event_day_open,30,30,29.2433333333,31.8000000000,2.5566666667,-2.5566666667,2.6033333333,2.8032718979,2.6500000000,1.1693450372,0.5350000000,1.9500000000,2.6500000000,3.3750000000,4.1550000000,4.2000000000,0.7449406542
2025-09,24h_prior,26,26,29.5076923077,32.1923076923,2.6846153846,-2.6846153846,2.7000000000,3.0803346472,2.9500000000,1.5403096592,0.1500000000,1.4000000000,2.9500000000,3.9000000000,4.4000000000,5.2000000000,0.7754940719
2025-09,12h_prior,26,26,29.5269230769,32.3115384615,2.7846153846,-2.7846153846,2.8384615385,3.1079303031,3.2000000000,1.4076057140,0.0750000000,1.9500000000,3.2000000000,3.7750000000,4.3500000000,4.7000000000,0.8089474036
2025-09,6h_prior,25,25,29.5080000000,32.4880000000,2.9800000000,-2.9800000000,2.9800000000,3.2835955902,3.4000000000,1.4074208089,0.6400000000,1.8000000000,3.4000000000,3.9000000000,4.6600000000,5.4000000000,0.7528555551
2025-09,event_day_open,26,26,29.5346153846,32.3038461538,2.7692307692,-2.7692307692,2.7769230769,3.1907317704,3.4000000000,1.6163586807,0.1250000000,1.4000000000,3.4000000000,3.9000000000,4.6500000000,5.4000000000,0.7268645871
2025-10,24h_prior,31,31,28.2548387097,29.8903225806,1.6354838710,-1.6354838710,1.9451612903,2.1538412797,1.9000000000,1.4246750243,-1.1500000000,0.9000000000,1.9000000000,2.6500000000,3.4500000000,3.7000000000,0.9154232154
2025-10,12h_prior,31,31,28.3387096774,29.8903225806,1.5516129032,-1.5516129032,1.8677419355,2.0998463846,1.9000000000,1.4382561125,-1.1000000000,0.7000000000,1.8000000000,2.7000000000,3.2000000000,3.5000000000,0.9147576408
2025-10,6h_prior,31,31,28.2419354839,29.8903225806,1.6483870968,-1.6483870968,1.7903225806,2.0715429811,1.8000000000,1.2753747077,-0.4000000000,0.8500000000,1.8000000000,2.4500000000,3.4500000000,3.6000000000,0.9329413047
