event_date,market_id,market_slug,group_item_title,yes_token_id,contract_event_type,threshold_c,lower_bound_c,upper_bound_c,event_rank,decision_rule,decision_cutoff_utc,target_available,hko_daily_max_c,Y,empirical_period,market_price_available,market_raw_yes,selected_price_timestamp_unix,selected_price_timestamp_utc,record_age_hours,book_contracts,prices_available,market_book_sum,market_book_complete,market_normalised
2026-03-16,1609045,highest-temperature-in-hong-kong-on-march-16-2026-23c,23°C,93841664961403431322117383569371933138371976309205073100030056447093674795185,interior_bin,23,23.0,24.0,9,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609045,highest-temperature-in-hong-kong-on-march-16-2026-23c,23°C,93841664961403431322117383569371933138371976309205073100030056447093674795185,interior_bin,23,23.0,24.0,9,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609046,highest-temperature-in-hong-kong-on-march-16-2026-24corhigher,24°C or higher,96547736760253325103867666165708769433810210787956568202716956033901110343233,upper_tail,24,24.0,inf,10,24h_prior,2026-03-14T16:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609046,highest-temperature-in-hong-kong-on-march-16-2026-24corhigher,24°C or higher,96547736760253325103867666165708769433810210787956568202716956033901110343233,upper_tail,24,24.0,inf,10,12h_prior,2026-03-15T04:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609046,highest-temperature-in-hong-kong-on-march-16-2026-24corhigher,24°C or higher,96547736760253325103867666165708769433810210787956568202716956033901110343233,upper_tail,24,24.0,inf,10,6h_prior,2026-03-15T10:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-16,1609046,highest-temperature-in-hong-kong-on-march-16-2026-24corhigher,24°C or higher,96547736760253325103867666165708769433810210787956568202716956033901110343233,upper_tail,24,24.0,inf,10,event_day_open,2026-03-15T16:00:00+00:00,True,24.0,1.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609221,highest-temperature-in-hong-kong-on-march-17-2026-17corbelow,17°C or below,74430768769298393535324126048859683264008360041597564587110533195812172019009,lower_tail_endpoint,17,-inf,18.0,0,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609221,highest-temperature-in-hong-kong-on-march-17-2026-17corbelow,17°C or below,74430768769298393535324126048859683264008360041597564587110533195812172019009,lower_tail_endpoint,17,-inf,18.0,0,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609221,highest-temperature-in-hong-kong-on-march-17-2026-17corbelow,17°C or below,74430768769298393535324126048859683264008360041597564587110533195812172019009,lower_tail_endpoint,17,-inf,18.0,0,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609221,highest-temperature-in-hong-kong-on-march-17-2026-17corbelow,17°C or below,74430768769298393535324126048859683264008360041597564587110533195812172019009,lower_tail_endpoint,17,-inf,18.0,0,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609222,highest-temperature-in-hong-kong-on-march-17-2026-18c,18°C,74497006838952431952518915957389614336591327614945999092550950814520458469010,interior_bin,18,18.0,19.0,1,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609222,highest-temperature-in-hong-kong-on-march-17-2026-18c,18°C,74497006838952431952518915957389614336591327614945999092550950814520458469010,interior_bin,18,18.0,19.0,1,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609222,highest-temperature-in-hong-kong-on-march-17-2026-18c,18°C,74497006838952431952518915957389614336591327614945999092550950814520458469010,interior_bin,18,18.0,19.0,1,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609222,highest-temperature-in-hong-kong-on-march-17-2026-18c,18°C,74497006838952431952518915957389614336591327614945999092550950814520458469010,interior_bin,18,18.0,19.0,1,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609223,highest-temperature-in-hong-kong-on-march-17-2026-19c,19°C,113656669219833780540636424916866265988585025676013893908605651605463790811709,interior_bin,19,19.0,20.0,2,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609223,highest-temperature-in-hong-kong-on-march-17-2026-19c,19°C,113656669219833780540636424916866265988585025676013893908605651605463790811709,interior_bin,19,19.0,20.0,2,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609223,highest-temperature-in-hong-kong-on-march-17-2026-19c,19°C,113656669219833780540636424916866265988585025676013893908605651605463790811709,interior_bin,19,19.0,20.0,2,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609223,highest-temperature-in-hong-kong-on-march-17-2026-19c,19°C,113656669219833780540636424916866265988585025676013893908605651605463790811709,interior_bin,19,19.0,20.0,2,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609224,highest-temperature-in-hong-kong-on-march-17-2026-20c,20°C,94069879086499840940333475922582303418183329007883386757464006533312215702513,interior_bin,20,20.0,21.0,3,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609224,highest-temperature-in-hong-kong-on-march-17-2026-20c,20°C,94069879086499840940333475922582303418183329007883386757464006533312215702513,interior_bin,20,20.0,21.0,3,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609224,highest-temperature-in-hong-kong-on-march-17-2026-20c,20°C,94069879086499840940333475922582303418183329007883386757464006533312215702513,interior_bin,20,20.0,21.0,3,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609224,highest-temperature-in-hong-kong-on-march-17-2026-20c,20°C,94069879086499840940333475922582303418183329007883386757464006533312215702513,interior_bin,20,20.0,21.0,3,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609225,highest-temperature-in-hong-kong-on-march-17-2026-21c,21°C,47390239619823337508883329907370539238167695119489890630851619214868152253943,interior_bin,21,21.0,22.0,4,24h_prior,2026-03-15T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609225,highest-temperature-in-hong-kong-on-march-17-2026-21c,21°C,47390239619823337508883329907370539238167695119489890630851619214868152253943,interior_bin,21,21.0,22.0,4,12h_prior,2026-03-16T04:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609225,highest-temperature-in-hong-kong-on-march-17-2026-21c,21°C,47390239619823337508883329907370539238167695119489890630851619214868152253943,interior_bin,21,21.0,22.0,4,6h_prior,2026-03-16T10:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
2026-03-17,1609225,highest-temperature-in-hong-kong-on-march-17-2026-21c,21°C,47390239619823337508883329907370539238167695119489890630851619214868152253943,interior_bin,21,21.0,22.0,4,event_day_open,2026-03-16T16:00:00+00:00,True,24.0,0.0,market_development,False,,,,,11,0,,False,
