transition,dates,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
12h_to_open,730,improved_date_fraction,0.4602739726027397,circular_moving_block,3.0,0.4232876712328767,0.49726027397260275,10000,20261202,settlement_date
12h_to_open,730,directionally_correct_fraction_among_updates,0.5841269841269842,circular_moving_block,3.0,0.5454545454545454,0.6224,10000,20261202,settlement_date
12h_to_open,730,mean_forecast_revision_c,0.004794520547945222,circular_moving_block,5.0,-0.05260616438356159,0.06123287671232875,10000,20261203,settlement_date
12h_to_open,730,mean_absolute_forecast_revision_c,0.4935616438356164,circular_moving_block,5.0,0.45424315068493143,0.5339726027397259,10000,20261203,settlement_date
12h_to_open,730,mean_absolute_error_improvement_c,0.04260273972602743,circular_moving_block,5.0,-0.005479452054794435,0.09219178082191778,10000,20261203,settlement_date
12h_to_open,730,mean_squared_error_improvement_c2,0.25878082191780827,circular_moving_block,5.0,0.05891438356164421,0.4634722602739721,10000,20261203,settlement_date
12h_to_open,730,improved_date_fraction,0.4602739726027397,circular_moving_block,5.0,0.4246575342465753,0.49726027397260275,10000,20261203,settlement_date
12h_to_open,730,directionally_correct_fraction_among_updates,0.5841269841269842,circular_moving_block,5.0,0.5453099515849373,0.6228209191759112,10000,20261203,settlement_date
12h_to_open,730,mean_forecast_revision_c,0.004794520547945222,circular_moving_block,7.0,-0.05438698630136979,0.06315068493150686,10000,20261204,settlement_date
12h_to_open,730,mean_absolute_forecast_revision_c,0.4935616438356164,circular_moving_block,7.0,0.45410616438356144,0.534794520547945,10000,20261204,settlement_date
12h_to_open,730,mean_absolute_error_improvement_c,0.04260273972602743,circular_moving_block,7.0,-0.005619863013698407,0.08958904109589041,10000,20261204,settlement_date
12h_to_open,730,mean_squared_error_improvement_c2,0.25878082191780827,circular_moving_block,7.0,0.05906438356164449,0.46561780821917814,10000,20261204,settlement_date
12h_to_open,730,improved_date_fraction,0.4602739726027397,circular_moving_block,7.0,0.4246575342465753,0.49726027397260275,10000,20261204,settlement_date
12h_to_open,730,directionally_correct_fraction_among_updates,0.5841269841269842,circular_moving_block,7.0,0.5445856001403958,0.6215826346905374,10000,20261204,settlement_date
24h_to_open,730,mean_forecast_revision_c,0.026438356164383538,ordinary_date,,-0.03698630136986306,0.08904452054794515,10000,20261301,settlement_date
24h_to_open,730,mean_absolute_forecast_revision_c,0.6064383561643835,ordinary_date,,0.5621883561643836,0.6542465753424657,10000,20261301,settlement_date
24h_to_open,730,mean_absolute_error_improvement_c,0.10424657534246576,ordinary_date,,0.05013698630136993,0.15918150684931515,10000,20261301,settlement_date
