model,decision_rule,strategy,threshold,n_books,n_active_books,n_positions,total_stake,total_net_pnl,mean_net_pnl_per_book,mean_net_pnl_per_active_book,positive_pnl_book_rate
ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,10,9,16,9.0,0.31694993762171414,0.031694993762171414,0.035216659735746024,0.3333333333333333
catboost_raw,24h_prior,proportional_positive_edge,0.05,10,10,15,10.0,0.24451767566054206,0.024451767566054206,0.024451767566054206,0.3
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.05,10,10,18,10.0,0.14355598837589909,0.014355598837589908,0.014355598837589908,0.3
ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.05,10,9,25,9.0,-0.0352041851714015,-0.00352041851714015,-0.003911576130155723,0.2222222222222222
ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.05,10,10,25,10.0,-0.10172082594756138,-0.010172082594756137,-0.010172082594756137,0.2
ecmwf_raw,6h_prior,proportional_positive_edge,0.05,10,10,38,10.0,-0.1665790719961913,-0.01665790719961913,-0.01665790719961913,0.1
catboost_platt,6h_prior,proportional_positive_edge,0.05,10,10,18,10.0,-0.22964094402274426,-0.022964094402274426,-0.022964094402274426,0.2
ecmwf_raw,event_day_open,proportional_positive_edge,0.05,10,10,36,10.0,-0.2435066658815363,-0.02435066658815363,-0.02435066658815363,0.0
ecmwf_raw,12h_prior,proportional_positive_edge,0.05,10,9,35,9.0,-0.28929233232715124,-0.028929233232715124,-0.03214359248079458,0.1111111111111111
ecmwf_raw,24h_prior,proportional_positive_edge,0.05,10,10,32,10.0,-0.3538702920789991,-0.03538702920789991,-0.03538702920789991,0.1
catboost_raw,event_day_open,proportional_positive_edge,0.05,10,8,14,8.0,-0.42044727387141034,-0.04204472738714103,-0.05255590923392628,0.125
catboost_raw,6h_prior,proportional_positive_edge,0.05,10,10,16,10.0,-0.4633537856717607,-0.04633537856717607,-0.04633537856717607,0.2
catboost_platt,event_day_open,proportional_positive_edge,0.05,10,9,15,9.0,-0.5277977705378857,-0.05277977705378857,-0.05864419672643176,0.1111111111111111
catboost_platt,12h_prior,proportional_positive_edge,0.05,10,10,16,10.0,-0.5838566416183386,-0.05838566416183386,-0.05838566416183386,0.1
catboost_raw,12h_prior,proportional_positive_edge,0.05,10,10,15,10.0,-0.6926906885035438,-0.06926906885035437,-0.06926906885035437,0.1
