decision_rule,max_staleness_hours,mean_net_pnl_per_active_book,mean_net_pnl_per_trade,model,n_active_books,n_books,n_dates,n_opportunities,n_positions,n_trades,pipeline,positive_book_rate,positive_trade_rate,robustness_cost,robustness_scope,staleness_quantile,staleness_rule,strategy,threshold,total_net_pnl,unrestricted_staleness
12h_prior,0.9980555555555556,-0.148,,catboost_raw,5.0,10.0,5,,5.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,proportional_positive_edge,0.05,-0.74,False
event_day_open,0.9980555555555556,,-0.0301851851851851,catboost_platt,,,10,110.0,,27.0,21a,,0.1111111111111111,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-0.815,False
12h_prior,0.9980555555555556,-0.1358333333333333,,catboost_platt,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.815,False
12h_prior,0.9980555555555556,-0.1358333333333333,,catboost_raw,6.0,10.0,6,,6.0,,21b,0.0,,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,single_best_edge,0.05,-0.815,False
event_day_open,0.9980555555555556,,-0.03312,catboost_raw,,,10,110.0,,25.0,21a,,0.2,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-0.8280000000000001,False
6h_prior,0.9980555555555556,,-0.0508478260869565,catboost_platt,,,7,110.0,,23.0,21a,,0.0434782608695652,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-1.1695,False
12h_prior,0.9980555555555556,,-0.0409264705882353,ecmwf_raw,,,9,110.0,,34.0,21a,,0.2647058823529412,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-1.3915,False
6h_prior,0.9980555555555556,,-0.0837222222222222,catboost_raw,,,7,110.0,,18.0,21a,,0.1111111111111111,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-1.507,False
24h_prior,0.9980555555555556,,-0.09896,catboost_platt,,,9,110.0,,25.0,21a,,0.12,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-2.474,False
24h_prior,0.9980555555555556,,-0.0942592592592592,catboost_raw,,,9,110.0,,27.0,21a,,0.2592592592592592,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-2.545000000000001,False
12h_prior,0.9980555555555556,,-0.115625,catboost_raw,,,9,110.0,,24.0,21a,,0.1666666666666666,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-2.775,False
12h_prior,0.9980555555555556,,-0.1719423076923076,catboost_platt,,,9,110.0,,26.0,21a,,0.0384615384615384,0.01,standalone_model_by_decision_rule_by_strategy,0.5,empirical_q50,binary_contract_edge,0.05,-4.4705,False
