event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market_raw,p_model_raw,q_market,q_model,normalised_edge,absolute_normalised_edge,market_probability_sum_raw,model_probability_sum_raw,book_n_contracts,allocation_weight,position_indicator,gross_pnl_component,net_pnl_component,strategy,threshold
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-23c,interior_bin,0,catboost_raw,0.001,0.0034007626350087,0.0009722897423432184,0.0018391571161491783,0.0008668673738059599,0.0008668673738059599,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-25c,interior_bin,0,catboost_raw,0.001,0.0112862991241993,0.0009722897423432184,0.006103712483657737,0.0051314227413145185,0.0051314227413145185,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-28c,interior_bin,0,catboost_raw,0.015,0.1347331156236955,0.014584346135148274,0.07286464683814538,0.058280300702997105,0.058280300702997105,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-31c,interior_bin,0,catboost_raw,0.37,0.7149785570191447,0.3597472046669908,0.38666559303468323,0.026918388367692447,0.026918388367692447,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-27c,interior_bin,0,catboost_raw,0.0035,0.0167574991652266,0.003403014098201264,0.009062577176460765,0.005659563078259501,0.005659563078259501,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-29c,interior_bin,0,catboost_raw,0.065,0.3494128708970559,0.0631988332523092,0.18896501666097332,0.12576618340866413,0.12576618340866413,1.0285,1.8490876092898505,11,1.0,1,-0.065,-0.065,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-26c,interior_bin,0,catboost_raw,0.001,0.0077751642319193,0.0009722897423432184,0.004204865249681373,0.0032325755073381547,0.0032325755073381547,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-30c,interior_bin,1,catboost_raw,0.225,0.1563238252694916,0.21876519202722414,0.08454105932251008,-0.13422413270471406,0.13422413270471406,1.0285,1.8490876092898505,11,0.0,0,0.0,0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-24c,interior_bin,0,catboost_raw,0.001,0.0087238488708509,0.0009722897423432184,0.00471792078808063,0.0037456310457374114,0.0037456310457374114,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
2026-05-31,47,12h_prior,highest-temperature-in-hong-kong-on-may-31-2026-22corbelow,lower_tail_endpoint,0,catboost_raw,0.001,0.0022203735422202,0.0009722897423432184,0.0012007941273658436,0.00022850438502262525,0.00022850438502262525,1.0285,1.8490876092898505,11,0.0,0,-0.0,-0.0,proportional_positive_edge,0.1
