model,decision_rule,strategy,threshold,event_date,n_positions,total_stake,net_pnl,cumulative_net_pnl
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-24,0,0.0,0.0,0.48154781933099794
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-25,1,1.0,-0.095,0.3865478193309979
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-26,2,1.0,-0.09230565839188139,0.29424216093911654
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-27,1,1.0,-0.135,0.15924216093911653
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-28,2,0.9999999999999999,-0.10529207111629191,0.05395008982282462
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-29,0,0.0,0.0,0.05395008982282462
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-30,0,0.0,0.0,0.05395008982282462
ecmwf_bias_adaptive_sigma,6h_prior,proportional_positive_edge,0.1,2026-05-31,3,1.0,0.25540934570551505,0.30935943552833967
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-22,1,1.0,-0.085,-0.085
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-23,1,1.0,0.905,0.8200000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-24,1,1.0,-0.305,0.5150000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-25,1,1.0,-0.095,0.42000000000000004
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-26,1,1.0,-0.15,0.2700000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-27,1,1.0,-0.135,0.13500000000000006
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-28,1,1.0,-0.145,-0.009999999999999926
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-29,1,1.0,0.19499999999999995,0.18500000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-30,1,1.0,-0.025,0.16000000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.0,2026-05-31,1,1.0,-0.03,0.13000000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-22,1,1.0,-0.085,-0.085
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-23,1,1.0,0.905,0.8200000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-24,1,1.0,-0.305,0.5150000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-25,1,1.0,-0.095,0.42000000000000004
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-26,1,1.0,-0.15,0.2700000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-27,1,1.0,-0.135,0.13500000000000006
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-28,1,1.0,-0.145,-0.009999999999999926
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-29,1,1.0,0.19499999999999995,0.18500000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-30,1,1.0,-0.025,0.16000000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,2026-05-31,1,1.0,-0.03,0.13000000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-22,1,1.0,-0.085,-0.085
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-23,1,1.0,0.905,0.8200000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-24,1,1.0,-0.305,0.5150000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-25,1,1.0,-0.095,0.42000000000000004
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-26,1,1.0,-0.15,0.2700000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-27,1,1.0,-0.135,0.13500000000000006
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-28,1,1.0,-0.145,-0.009999999999999926
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-29,1,1.0,0.19499999999999995,0.18500000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-30,1,1.0,-0.025,0.16000000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,2026-05-31,1,1.0,-0.03,0.13000000000000003
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-22,1,1.0,-0.085,-0.085
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-23,1,1.0,0.905,0.8200000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-24,0,0.0,0.0,0.8200000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-25,1,1.0,-0.095,0.7250000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-26,1,1.0,-0.15,0.5750000000000001
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-27,1,1.0,-0.135,0.44000000000000006
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-28,1,1.0,-0.145,0.29500000000000004
ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,2026-05-29,0,0.0,0.0,0.29500000000000004
