target_date,decision_rule,forecast_daily_max_c,forecast_issue_time_utc,decision_time_utc,unique_local_hours,source_period,forecast_value_source,daily_forecast_column,daily_forecast_corroborated,information_time_verified,hko_daily_max_c,residual_c,has_certified_market,chronology_block,development_fold,outcome_may_influence_model_choice,used_in_final_fit_before_holdout,used_to_refit_before_external_test
2026-04-08,24h_prior,24.1,2026-04-06T06:00:00Z,2026-04-06T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.7,2.599999999999998,True,warmup_training,,True,True,False
2026-04-08,6h_prior,24.6,2026-04-07T00:00:00Z,2026-04-07T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.7,2.099999999999998,True,warmup_training,,True,True,False
2026-04-08,event_day_open,24.9,2026-04-07T06:00:00Z,2026-04-07T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,26.7,1.8000000000000007,True,warmup_training,,True,True,False
2026-04-09,12h_prior,26.2,2026-04-07T18:00:00Z,2026-04-08T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,1.8000000000000007,True,warmup_training,,True,True,False
2026-04-09,24h_prior,26.3,2026-04-07T06:00:00Z,2026-04-07T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,1.6999999999999993,True,warmup_training,,True,True,False
2026-04-09,6h_prior,26.4,2026-04-08T00:00:00Z,2026-04-08T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,1.6000000000000014,True,warmup_training,,True,True,False
2026-04-09,event_day_open,26.4,2026-04-08T06:00:00Z,2026-04-08T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.0,1.6000000000000014,True,warmup_training,,True,True,False
2026-04-10,12h_prior,26.7,2026-04-08T18:00:00Z,2026-04-09T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.3,1.6000000000000014,True,warmup_training,,True,True,False
2026-04-10,24h_prior,26.8,2026-04-08T06:00:00Z,2026-04-08T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.3,1.5,True,warmup_training,,True,True,False
2026-04-10,6h_prior,26.9,2026-04-09T00:00:00Z,2026-04-09T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.3,1.4000000000000021,True,warmup_training,,True,True,False
2026-04-10,event_day_open,26.8,2026-04-09T06:00:00Z,2026-04-09T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.3,1.5,True,warmup_training,,True,True,False
2026-04-11,12h_prior,26.7,2026-04-09T18:00:00Z,2026-04-10T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.6,0.9000000000000021,True,warmup_training,,True,True,False
2026-04-11,24h_prior,26.7,2026-04-09T06:00:00Z,2026-04-09T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.6,0.9000000000000021,True,warmup_training,,True,True,False
2026-04-11,6h_prior,26.7,2026-04-10T00:00:00Z,2026-04-10T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.6,0.9000000000000021,True,warmup_training,,True,True,False
2026-04-11,event_day_open,26.8,2026-04-10T06:00:00Z,2026-04-10T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,27.6,0.8000000000000007,True,warmup_training,,True,True,False
2026-04-12,12h_prior,26.9,2026-04-10T18:00:00Z,2026-04-11T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,1.6000000000000014,True,development_validation,1,True,True,False
2026-04-12,24h_prior,27.0,2026-04-10T06:00:00Z,2026-04-10T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,1.5,True,development_validation,1,True,True,False
2026-04-12,6h_prior,27.2,2026-04-11T00:00:00Z,2026-04-11T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,1.3000000000000007,True,development_validation,1,True,True,False
2026-04-12,event_day_open,27.1,2026-04-11T06:00:00Z,2026-04-11T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.5,1.3999999999999986,True,development_validation,1,True,True,False
2026-04-13,12h_prior,27.0,2026-04-11T18:00:00Z,2026-04-12T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.7,2.6999999999999993,True,development_validation,1,True,True,False
2026-04-13,24h_prior,27.1,2026-04-11T06:00:00Z,2026-04-11T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.7,2.599999999999998,True,development_validation,1,True,True,False
2026-04-13,6h_prior,27.1,2026-04-12T00:00:00Z,2026-04-12T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.7,2.599999999999998,True,development_validation,1,True,True,False
2026-04-13,event_day_open,27.0,2026-04-12T06:00:00Z,2026-04-12T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.7,2.6999999999999993,True,development_validation,1,True,True,False
2026-04-14,12h_prior,27.3,2026-04-12T18:00:00Z,2026-04-13T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,1.6999999999999993,True,development_validation,1,True,True,False
2026-04-14,24h_prior,27.0,2026-04-12T06:00:00Z,2026-04-12T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,2.0,True,development_validation,1,True,True,False
2026-04-14,6h_prior,27.3,2026-04-13T00:00:00Z,2026-04-13T10:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,1.6999999999999993,True,development_validation,1,True,True,False
2026-04-14,event_day_open,27.5,2026-04-13T06:00:00Z,2026-04-13T16:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,29.0,1.5,True,development_validation,1,True,True,False
2026-04-15,12h_prior,27.3,2026-04-13T18:00:00Z,2026-04-14T04:00:00Z,24,historical_march_may,reconstructed_complete_hourly_path,forecast_hko_daily_max_C,True,True,28.9,1.5999999999999979,True,development_validation,1,True,True,False
