model,event_date,decision_rule,strategy,threshold,n_contracts,n_positions,stake_sum,selected_market_slug,selected_contract_event_type,selected_q_market,selected_q_model,selected_normalised_edge,selected_market_price_raw,selected_target,gross_pnl,net_pnl,winning_contract_selected,winning_contract_weight,mean_selected_normalised_edge,market_price_staleness_hours,gross_pnl_original,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,active_book,passes_staleness_filter,robust_active_book,robust_net_pnl
catboost_platt,2026-05-22,6h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0.0845350571854798,0.1516665187111883,0.0671314615257084,0.085,0.0,0.0,0.0,0.0,,,0.995,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-22,event_day_open,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-22-2026-29c,interior_bin,0.0907787864309603,0.1656325736441996,0.0748537872132392,0.095,0.0,0.0,0.0,0.0,,,0.9977777777777778,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-23,12h_prior,single_best_edge,0.1,11,1,1.0,highest-temperature-in-hong-kong-on-may-23-2026-31c,interior_bin,0.1765799256505576,0.2878796612594403,0.1112997356088826,0.19,0.0,-0.19,-0.19,0.0,,,0.9972222222222222,-0.19,0.05,empirical_q75,0.75,0.9986111111111112,False,True,True,True,-0.24
catboost_platt,2026-05-23,24h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-23-2026-28c,interior_bin,0.0336933045356371,0.0618137808539788,0.0281204763183416,0.039,0.0,0.0,0.0,0.0,,,0.9972222222222222,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-23,6h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-23-2026-33corhigher,upper_tail,0.1095238095238095,0.1739858452211848,0.0644620356973753,0.115,0.0,0.0,0.0,0.0,,,0.9969444444444444,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-23,event_day_open,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-23-2026-29c,interior_bin,0.064625850340136,0.1140203681446653,0.0493945178045293,0.0665,0.0,0.0,0.0,0.0,,,0.9966666666666668,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-24,12h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.0636319138521781,0.1348899748577702,0.0712580610055921,0.065,0.0,0.0,0.0,0.0,,,0.9983333333333332,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-24,24h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.0677637947725072,0.1506837575610019,0.0829199627884947,0.07,0.0,0.0,0.0,0.0,,,0.9983333333333332,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-24,6h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.0340466926070038,0.1077907495025797,0.0737440568955758,0.035,0.0,0.0,0.0,0.0,,,0.9991666666666666,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,False,False,0.0
catboost_platt,2026-05-24,event_day_open,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0.019782393669634,0.0939648630180988,0.0741824693484648,0.02,0.0,0.0,0.0,0.0,,,0.9988888888888888,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,False,False,0.0
catboost_platt,2026-05-25,12h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.0912584053794428,0.1513785112482945,0.0601201058688516,0.095,0.0,0.0,0.0,0.0,,,0.9980555555555556,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-25,24h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-25-2026-32c,interior_bin,0.2422802850356294,0.3062214344326582,0.0639411493970287,0.255,1.0,0.0,0.0,0.0,,,0.9988888888888888,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,False,False,0.0
catboost_platt,2026-05-25,6h_prior,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.1103646833013436,0.1799598192654631,0.0695951359641195,0.115,0.0,0.0,0.0,0.0,,,0.9983333333333332,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
catboost_platt,2026-05-25,event_day_open,single_best_edge,0.1,11,0,0.0,highest-temperature-in-hong-kong-on-may-25-2026-33corhigher,upper_tail,0.1089015151515151,0.1852245881636189,0.0763230730121038,0.115,0.0,0.0,0.0,0.0,,,0.9983333333333332,0.0,0.05,empirical_q75,0.75,0.9986111111111112,False,False,True,False,0.0
