event_date,date_group_id,decision_rule,market_slug,contract_event_type_v2,target_Y_event,model,p_market,p_model,edge_model_minus_market,threshold,position,trade_indicator,yes_trade_indicator,no_trade_indicator,gross_pnl,net_pnl,absolute_edge,correct_direction
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-26c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.001,3.5245150761697985e-05,-0.000964754849238302,0.05,FLAT,0,0,0,0.0,0.0,0.000964754849238302,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-31c,interior_bin,1,ecmwf_bias_adaptive_sigma,0.435,0.3417045864707071,-0.09329541352929288,0.05,NO,1,0,1,-0.565,-0.565,0.09329541352929288,0.0
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-22corbelow,lower_tail_endpoint,0,ecmwf_bias_adaptive_sigma,0.0005,2.980948821118545e-14,-0.0004999999999701905,0.05,FLAT,0,0,0,0.0,0.0,0.0004999999999701905,
2026-05-24,40,12h_prior,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,upper_tail,0,ecmwf_bias_adaptive_sigma,0.365,0.3255249574559584,-0.039475042544041605,0.05,FLAT,0,0,0,0.0,0.0,0.039475042544041605,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-28c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0165,0.0194355778945254,0.0029355778945254,0.05,FLAT,0,0,0,0.0,0.0,0.0029355778945254,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-24c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,2.6360262361802e-08,-0.0004999736397376382,0.05,FLAT,0,0,0,0.0,0.0,0.0004999736397376382,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-25c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,2.2228553098191384e-06,-0.0004977771446901809,0.05,FLAT,0,0,0,0.0,0.0,0.0004977771446901809,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-30c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.18,0.2547792308772097,0.07477923087720972,0.05,YES,1,1,0,-0.18,-0.18,0.07477923087720972,0.0
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-29c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.07,0.0993443464086947,0.029344346408694696,0.05,FLAT,0,0,0,0.0,0.0,0.029344346408694696,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-23c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0005,1.5347062509718512e-10,-0.0004999998465293749,0.05,FLAT,0,0,0,0.0,0.0,0.0004999998465293749,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-27c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.003,0.0018999911431638,-0.0011000088568362,0.05,FLAT,0,0,0,0.0,0.0,0.0011000088568362,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-26c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.0015,9.237321556443412e-05,-0.001407626784435566,0.05,FLAT,0,0,0,0.0,0.0,0.001407626784435566,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-31c,interior_bin,1,ecmwf_bias_adaptive_sigma,0.405,0.3287312589572775,-0.07626874104272252,0.05,NO,1,0,1,-0.595,-0.595,0.07626874104272252,0.0
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-22corbelow,lower_tail_endpoint,0,ecmwf_bias_adaptive_sigma,0.0005,4.378719609121618e-13,-0.000499999999562128,0.05,FLAT,0,0,0,0.0,0.0,0.000499999999562128,
2026-05-24,40,24h_prior,highest-temperature-in-hong-kong-on-may-24-2026-32corhigher,upper_tail,0,ecmwf_bias_adaptive_sigma,0.355,0.2957149721340836,-0.059285027865916384,0.05,NO,1,0,1,0.355,0.355,0.059285027865916384,1.0
2026-05-24,40,6h_prior,highest-temperature-in-hong-kong-on-may-24-2026-28c,interior_bin,0,ecmwf_bias_adaptive_sigma,0.004,0.0079729341304408,0.0039729341304408,0.05,FLAT,0,0,0,0.0,0.0,0.0039729341304408,
