pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_books,n_active_books,n_positions,n_dates,total_net_pnl,mean_net_pnl_per_active_book,positive_book_rate
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,0.87,0.21749999999999997,0.5
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,0.87,0.21749999999999997,0.5
21b,ecmwf_bias_adaptive_sigma,6h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,0.675,0.225,0.3333333333333333
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,1,2,1,-0.1107868296781365,-0.1107868296781365,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,-0.27,-0.135,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,-0.15,-0.15,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,-0.4965,-0.124125,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,4,4,4,-0.4965,-0.124125,0.0
21b,ecmwf_bias_adaptive_sigma,event_day_open,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,-0.3765,-0.1255,0.0
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,6,3,0.4588833610239651,0.1529611203413217,0.6666666666666666
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,4,2,0.5795165988804984,0.2897582994402492,1.0
21b,ecmwf_bias_fixed_sigma,12h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,3,2,0.7091069023159363,0.35455345115796816,1.0
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,1.055,0.3516666666666666,0.6666666666666666
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.125,0.5625,1.0
21b,ecmwf_bias_fixed_sigma,12h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.125,0.5625,1.0
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,3,2,1.0514815418459251,0.5257407709229626,1.0
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.2149999999999999,0.6074999999999999,1.0
21b,ecmwf_bias_fixed_sigma,24h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.62,0.62,1.0
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.2149999999999999,0.6074999999999999,1.0
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,2,2,2,1.2149999999999999,0.6074999999999999,1.0
21b,ecmwf_bias_fixed_sigma,24h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,1,1,1,0.62,0.62,1.0
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,9,3,0.21562565311143872,0.0718752177038129,0.3333333333333333
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,8,3,0.2395985667989619,0.0798661889329873,0.3333333333333333
21b,ecmwf_bias_fixed_sigma,6h_prior,proportional_positive_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,5,3,0.3137239432408413,0.1045746477469471,0.3333333333333333
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,0.78,0.26,0.3333333333333333
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.05,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,0.78,0.26,0.3333333333333333
21b,ecmwf_bias_fixed_sigma,6h_prior,single_best_edge,0.1,0.0,empirical_q25,0.25,0.9975,False,10,3,3,3,0.78,0.26,0.3333333333333333
21b,ecmwf_bias_fixed_sigma,event_day_open,proportional_positive_edge,0.02,0.0,empirical_q25,0.25,0.9975,False,10,0,0,0,0.0,,
