n_contracts_common,expected_n_contracts,n_yes,book_ready,book_issue,market_total_book_probability,ecmwf_total_book_probability,market_abs_book_probability_error,ecmwf_abs_book_probability_error,market_winning_probability_raw,ecmwf_winning_probability_raw,market_winning_probability_normalised,ecmwf_winning_probability_normalised,market_normalised_categorical_log_score,ecmwf_normalised_categorical_log_score,market_normalised_multiclass_brier,ecmwf_normalised_multiclass_brier,delta_norm_log_market_minus_ecmwf,delta_norm_brier_market_minus_ecmwf,event_date,decision_rule
11,11,1.0,True,,1.0675000000000001,0.9999999999999993,0.06750000000000012,6.661338147750939e-16,0.375,0.130465464351,0.35128805620608894,0.1304654643510001,1.046148719132369,2.0366467282314997,0.557259898315682,0.9237753399852277,-0.9904980090991307,-0.36651544166954564,2026-05-11,24h_prior
11,11,1.0,True,,1.0479999999999998,0.9999999999999993,0.04799999999999982,6.661338147750939e-16,0.17,0.005954697061078,0.16221374045801532,0.005954697061078005,1.8188404278307253,5.123574948824364,0.9574152511508653,1.1727968745650719,-3.3047345209936383,-0.21538162341420652,2026-04-28,24h_prior
11,11,1.0,True,,1.0265,0.9999999999999996,0.026499999999999968,4.440892098500626e-16,0.2,0.0760396778111262,0.19483682415976622,0.07603967781112622,1.6355928699109514,2.5764999984681207,0.8115603815024595,1.032579012581714,-0.9409071285571693,-0.22101863107925457,2026-04-08,24h_prior
11,11,1.0,True,,0.9634999999999999,0.9999999999999993,0.03650000000000009,6.661338147750939e-16,0.35,0.1205246531526716,0.3632589517384536,0.12052465315267168,1.0126393333709616,2.115900956498602,0.5191120959117816,0.9436077928556332,-1.1032616231276404,-0.4244956969438516,2026-04-20,24h_prior
11,11,1.0,True,,1.051,0.9999999999999996,0.050999999999999934,4.440892098500626e-16,0.325,0.1205246531526716,0.3092293054234063,0.12052465315267165,1.1736721885472134,2.1159009564986024,0.6463166337890333,0.9446500915177449,-0.942228767951389,-0.29833345772871167,2026-05-09,24h_prior
11,11,1.0,True,,1.1724999999999999,0.9999999999999997,0.17249999999999988,3.3306690738754696e-16,0.38,0.0926068302294892,0.3240938166311301,0.09260683022948923,1.1267222476000027,2.3793923794725433,0.6171177617850437,0.9998501860062712,-1.2526701318725406,-0.38273242422122744,2026-04-09,24h_prior
11,11,1.0,True,,1.074,0.9999999999999994,0.07400000000000007,5.551115123125783e-16,0.295,0.1818317583821429,0.2746741154562383,0.18183175838214302,1.2921699187289903,1.7046734239243866,0.7260185734250215,0.82128592760195,-0.41250350519539625,-0.09526735417692844,2026-04-15,24h_prior
11,11,1.0,True,,1.094,0.9999999999999998,0.09400000000000008,2.220446049250313e-16,0.045,0.0547846815912408,0.04113345521023765,0.054784681591240815,3.190933493211607,2.9043446571113547,1.1800789748971454,1.075159278868228,0.2865888361002522,0.10491969602891738,2026-05-08,24h_prior
11,11,1.0,True,,0.9785,0.9999999999999996,0.021499999999999964,4.440892098500626e-16,0.095,0.0613738721449523,0.0970873786407767,0.06137387214495233,2.33214389523559,2.79077106949329,1.1157275391275219,1.0620124513282485,-0.45862717425770017,0.053715087799273364,2026-04-29,24h_prior
11,11,1.0,True,,1.0494999999999999,0.9999999999999998,0.04949999999999988,2.220446049250313e-16,0.435,0.1406220211694107,0.41448308718437354,0.14062202116941072,0.8807231081720035,1.9616796890431125,0.45805518678669327,0.9034845997118884,-1.080956580871109,-0.44542941292519517,2026-04-10,24h_prior
11,11,1.0,True,,1.0715000000000001,0.9999999999999996,0.07150000000000012,4.440892098500626e-16,0.295,0.016247944828113,0.27531497900139984,0.016247944828113006,1.2898394585738122,4.119788850320786,0.6996924734493515,1.1523695577355058,-2.8299493917469736,-0.4526770842861543,2026-05-07,24h_prior
11,11,1.0,True,,1.0155,0.9999999999999993,0.01550000000000007,6.661338147750939e-16,0.08,0.22767795341899,0.07877892663712456,0.22767795341899014,2.541109746346558,1.4798231335294219,1.1016293244954316,0.7293503618492476,1.061286612817136,0.372278962646184,2026-04-11,24h_prior
11,11,1.0,True,,1.0410000000000001,0.9999999999999994,0.04100000000000015,5.551115123125783e-16,0.05,0.2523233465502916,0.048030739673390964,0.25232334655029176,3.035914063186823,1.3770438927359443,1.143505791833575,0.6800116751033832,1.6588701704508786,0.4634941167301917,2026-05-05,24h_prior
