pipeline,model,decision_rule,strategy,threshold,robustness_cost,staleness_rule,staleness_quantile,max_staleness_hours,unrestricted_staleness,n_opportunities,n_trades,n_dates,total_net_pnl,mean_net_pnl_per_trade,positive_trade_rate
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,22,7,0.9865,0.04484090909090909,0.2727272727272727
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,20,6,0.8190000000000001,0.04095,0.25
21a,ecmwf_bias_fixed_sigma,6h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,12,5,0.9400000000000002,0.07833333333333331,0.3333333333333333
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,30,10,1.299,0.0433,0.26666666666666666
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,28,9,1.6605,0.05930357142857142,0.2857142857142857
21a,ecmwf_bias_fixed_sigma,event_day_open,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,17,9,2.3064999999999998,0.1356764705882353,0.4117647058823529
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,39,9,-0.18049999999999966,-0.004628205128205125,0.2564102564102564
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,34,9,-1.0514999999999999,-0.0309264705882353,0.2647058823529412
21a,ecmwf_raw,12h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,24,8,-0.37449999999999994,-0.015604166666666669,0.3333333333333333
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,41,9,0.5105000000000003,0.012451219512195126,0.3170731707317073
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,33,9,0.512,0.015515151515151522,0.36363636363636365
21a,ecmwf_raw,24h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,25,8,0.15400000000000008,0.006160000000000003,0.4
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,33,7,0.6890000000000002,0.020878787878787886,0.18181818181818182
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,30,7,0.8400000000000001,0.02800000000000001,0.2
21a,ecmwf_raw,6h_prior,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,21,7,0.0005000000000001115,2.3809523809531762e-05,0.19047619047619047
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.02,0.0,empirical_q50,0.5,0.9980555555555556,False,110,36,10,0.04449999999999987,0.0012361111111111106,0.25
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.05,0.0,empirical_q50,0.5,0.9980555555555556,False,110,30,9,0.9809999999999999,0.0327,0.26666666666666666
21a,ecmwf_raw,event_day_open,binary_contract_edge,0.1,0.0,empirical_q50,0.5,0.9980555555555556,False,110,26,9,1.1334999999999997,0.04359615384615385,0.3076923076923077
21a,catboost_platt,12h_prior,binary_contract_edge,0.02,0.0,empirical_q75,0.75,0.9986111111111112,False,110,78,10,-3.7254999999999994,-0.047762820512820506,0.07692307692307693
21a,catboost_platt,12h_prior,binary_contract_edge,0.05,0.0,empirical_q75,0.75,0.9986111111111112,False,110,40,10,-3.2649999999999997,-0.08162499999999999,0.1
21a,catboost_platt,12h_prior,binary_contract_edge,0.1,0.0,empirical_q75,0.75,0.9986111111111112,False,110,23,10,-0.565,-0.024565217391304354,0.17391304347826086
21a,catboost_platt,24h_prior,binary_contract_edge,0.02,0.0,empirical_q75,0.75,0.9986111111111112,False,110,69,10,-4.2855,-0.06210869565217391,0.057971014492753624
