model,scope,scope_value,series,lag_days,autocorrelation,dates
rbf,decision_rule,6h_prior,squared_standardised_residual,11,-0.0709992401429381,365
rbf,decision_rule,6h_prior,squared_standardised_residual,12,-0.0209344719346864,365
rbf,decision_rule,6h_prior,squared_standardised_residual,13,0.0388248179499384,365
rbf,decision_rule,6h_prior,squared_standardised_residual,14,0.140619283822778,365
rbf,decision_rule,event_day_open,standardised_residual,1,0.4754361801946552,365
rbf,decision_rule,event_day_open,standardised_residual,2,0.2838889372009224,365
rbf,decision_rule,event_day_open,standardised_residual,3,0.3067736361689018,365
rbf,decision_rule,event_day_open,standardised_residual,4,0.2698527620075451,365
rbf,decision_rule,event_day_open,standardised_residual,5,0.2277920557627907,365
rbf,decision_rule,event_day_open,standardised_residual,6,0.2202240386056846,365
rbf,decision_rule,event_day_open,standardised_residual,7,0.1575482303624279,365
rbf,decision_rule,event_day_open,standardised_residual,8,0.1607864173583088,365
rbf,decision_rule,event_day_open,standardised_residual,9,0.1848211778636352,365
rbf,decision_rule,event_day_open,standardised_residual,10,0.1629930981492386,365
rbf,decision_rule,event_day_open,standardised_residual,11,0.1409593885682998,365
rbf,decision_rule,event_day_open,standardised_residual,12,0.1588292479772102,365
rbf,decision_rule,event_day_open,standardised_residual,13,0.2031440503146756,365
rbf,decision_rule,event_day_open,standardised_residual,14,0.1538738864460436,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,1,0.1841759986570476,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,2,0.075514250356651,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,3,0.1201505092356561,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,4,0.0005898755425469,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,5,0.0246546093712168,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,6,0.0133250931559169,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,7,0.0264805636605887,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,8,-0.0413306155102851,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,9,0.0311059062505682,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,10,0.069717222247163,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,11,0.0398871896235515,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,12,0.0263578226199701,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,13,0.0308897938008568,365
rbf,decision_rule,event_day_open,absolute_standardised_residual,14,0.0865599406028133,365
rbf,decision_rule,event_day_open,squared_standardised_residual,1,0.1638757123782646,365
