scope_type,scope_value,contrast,model,benchmark,primary,dates,metric,point_estimate,bootstrap_method,block_parameter_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,circular_moving_block,7.0,0.004472398562429356,0.06708313237078442,10000,20261102,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,circular_moving_block,7.0,-0.0099750483253635,0.0001305805890170486,10000,20261102,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,circular_moving_block,7.0,0.4958904109589041,0.6328767123287671,10000,20261102,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_loss_difference_c,-0.04841455108832304,circular_moving_block,7.0,-0.08509452299021869,-0.01426279596333297,10000,20261102,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_improvement_c,0.04841455108832304,circular_moving_block,7.0,0.01426279596333297,0.08509452299021869,10000,20261102,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,median_loss_difference_c,-0.0147809350191217,circular_moving_block,7.0,-0.040154055318319504,0.0019018807911698188,10000,20261102,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,model_better_fraction,0.5589041095890411,circular_moving_block,7.0,0.473972602739726,0.6410958904109589,10000,20261102,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_loss_difference_c,-0.014221469480205487,circular_moving_block,7.0,-0.02462954353922088,-0.004456383918571917,10000,20261102,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,mean_improvement_c,0.014221469480205487,circular_moving_block,7.0,0.004456383918571915,0.02462954353922088,10000,20261102,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,median_loss_difference_c,-0.007223284425000087,circular_moving_block,7.0,-0.01843119955000011,0.00162910275,10000,20261102,settlement_date
overall,all_dates,matern_minus_rbf,matern,rbf,True,365,model_better_fraction,0.5671232876712329,circular_moving_block,7.0,0.4821917808219178,0.6493150684931507,10000,20261102,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_loss_difference_c,-0.8681234630680137,circular_moving_block,7.0,-1.0854783322714274,-0.654893686810542,10000,20261102,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,mean_improvement_c,0.8681234630680137,circular_moving_block,7.0,0.654893686810542,1.0854783322714274,10000,20261102,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,median_loss_difference_c,-0.9972931454749986,circular_moving_block,7.0,-1.348565058174998,-0.5549234245249992,10000,20261102,settlement_date
overall,all_dates,rbf_minus_raw,rbf,raw,False,365,model_better_fraction,0.7041095890410959,circular_moving_block,7.0,0.6356164383561644,0.7726027397260274,10000,20261102,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_loss_difference_c,-0.8823449325482193,circular_moving_block,7.0,-1.0975376551089913,-0.6706051322110391,10000,20261102,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,mean_improvement_c,0.8823449325482193,circular_moving_block,7.0,0.6706051322110391,1.0975376551089913,10000,20261102,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,median_loss_difference_c,-0.9890612448000002,circular_moving_block,7.0,-1.351043042599998,-0.5623373353000003,10000,20261102,settlement_date
overall,all_dates,matern_minus_raw,matern,raw,False,365,model_better_fraction,0.7123287671232876,circular_moving_block,7.0,0.6438356164383562,0.7780821917808219,10000,20261102,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_loss_difference_c,-0.8339303814598961,stationary_bootstrap,3.0,-1.0133684954774158,-0.6503607980058415,10000,20261202,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,mean_improvement_c,0.8339303814598961,stationary_bootstrap,3.0,0.6503607980058415,1.0133684954774156,10000,20261202,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,median_loss_difference_c,-1.0142907337261,stationary_bootstrap,3.0,-1.339889801026726,-0.5983801725782493,10000,20261202,settlement_date
overall,all_dates,static_minus_raw,static,raw,True,365,model_better_fraction,0.7041095890410959,stationary_bootstrap,3.0,0.6383561643835617,0.7671232876712328,10000,20261202,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_loss_difference_c,-0.03419308160811756,stationary_bootstrap,3.0,-0.0635095946061675,-0.0075703101953337555,10000,20261202,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,mean_improvement_c,0.03419308160811756,stationary_bootstrap,3.0,0.007570310195333745,0.0635095946061675,10000,20261202,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,median_loss_difference_c,-0.0037003404648978666,stationary_bootstrap,3.0,-0.008565757508605443,-1.9934656063758105e-05,10000,20261202,settlement_date
overall,all_dates,rbf_minus_static,rbf,static,False,365,model_better_fraction,0.5643835616438356,stationary_bootstrap,3.0,0.5013698630136987,0.6273972602739726,10000,20261202,settlement_date
overall,all_dates,matern_minus_static,matern,static,True,365,mean_loss_difference_c,-0.04841455108832304,stationary_bootstrap,3.0,-0.0807918914526281,-0.017549871555924933,10000,20261202,settlement_date
