target_date,contrast_order,contrast,model,benchmark,primary,interpretation,model_date_crps_c,benchmark_date_crps_c,loss_difference_c,improvement_c,validation_block,chronological_index,position_within_block,tail,tail_rank
2026-02-27,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,2.718570940925,2.94067461835,-0.22210367742500026,0.22210367742500026,4,349,76,largest_model_favouring_improvements,4
2026-02-07,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.1774112329,1.38310743095,-0.20569619805000006,0.20569619805000006,4,329,56,largest_model_favouring_improvements,5
2026-01-10,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.28099403455,1.46547363125,-0.18447959670000014,0.18447959670000014,4,301,28,largest_model_favouring_improvements,6
2026-02-10,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.766434373925,1.944994552375,-0.17856017845000016,0.17856017845000016,4,332,59,largest_model_favouring_improvements,7
2025-12-24,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.88465523175,1.059139949425,-0.17448471767499996,0.17448471767499996,4,284,11,largest_model_favouring_improvements,8
2026-02-20,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.8981694582,1.065350801075,-0.16718134287499986,0.16718134287499986,4,342,69,largest_model_favouring_improvements,9
2026-03-02,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.497985658925,1.6606886694,-0.16270301047500002,0.16270301047500002,4,352,79,largest_model_favouring_improvements,10
2026-02-13,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.7184543104750001,0.59471460195,0.12373970852500005,-0.12373970852500005,4,335,62,largest_benchmark_favouring_deteriorations,1
2025-04-15,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.898222699925,0.785113981,0.11310871892500007,-0.11310871892500007,1,31,31,largest_benchmark_favouring_deteriorations,2
2025-10-20,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.44633094345,1.33950305965,0.10682788380000008,-0.10682788380000008,3,219,37,largest_benchmark_favouring_deteriorations,3
2025-09-21,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.99258061735,0.887155608125,0.10542500922499998,-0.10542500922499998,3,190,8,largest_benchmark_favouring_deteriorations,4
2026-02-16,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.6405927144,0.5355057043,0.10508701009999999,-0.10508701009999999,4,338,65,largest_benchmark_favouring_deteriorations,5
2026-02-15,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.6577432432,0.56222852385,0.09551471935,-0.09551471935,4,337,64,largest_benchmark_favouring_deteriorations,6
2025-07-29,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,2.785118736975,2.693013082775,0.09210565420000005,-0.09210565420000005,2,136,45,largest_benchmark_favouring_deteriorations,7
2025-07-24,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.34080165675,1.254169840275,0.08663181647500018,-0.08663181647500018,2,131,40,largest_benchmark_favouring_deteriorations,8
2025-05-02,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,1.362810397525,1.276218463525,0.08659193400000009,-0.08659193400000009,1,48,48,largest_benchmark_favouring_deteriorations,9
2025-05-05,4,matern_minus_rbf,matern,rbf,True,Selected Matérn versus alternative RBF covariance,0.99832070765,0.91523249955,0.08308820810000006,-0.08308820810000006,1,51,51,largest_benchmark_favouring_deteriorations,10
2025-09-14,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.51177922925,4.049999999999999,-3.538220770749999,3.538220770749999,3,183,1,largest_model_favouring_improvements,1
2025-09-16,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.8046547972,4.300000000000004,-3.4953452028000043,3.4953452028000043,3,185,3,largest_model_favouring_improvements,2
2025-09-15,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.996541446825,4.374999999999998,-3.3784585531749984,3.3784585531749984,3,184,2,largest_model_favouring_improvements,3
2025-09-17,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.416491710925,3.6000000000000005,-3.1835082890750006,3.1835082890750006,3,186,4,largest_model_favouring_improvements,4
2025-09-26,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.496425397875,3.299999999999998,-2.803574602124998,2.803574602124998,3,195,13,largest_model_favouring_improvements,5
2025-09-29,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,0.6772131501,3.4750000000000023,-2.7977868499000023,2.7977868499000023,3,198,16,largest_model_favouring_improvements,6
2025-06-25,5,rbf_minus_raw,rbf,raw,False,Total RBF gain relative to deterministic point forecast,1.506466885825,4.300000000000001,-2.7935331141750006,2.7935331141750006,2,102,11,largest_model_favouring_improvements,7
