model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,decision_rule,6h_prior,0.04,0.06301369863013699,0.02301369863013699,0.02301369863013699,0.0005296303246387692,365,365
rbf,decision_rule,6h_prior,0.05,0.0821917808219178,0.0321917808219178,0.0321917808219178,0.0010363107524863947,365,365
rbf,decision_rule,6h_prior,0.06,0.09863013698630137,0.03863013698630137,0.03863013698630137,0.0014922874835804091,365,365
rbf,decision_rule,6h_prior,0.07,0.11232876712328767,0.04232876712328766,0.04232876712328766,0.0017917245261775184,365,365
rbf,decision_rule,6h_prior,0.08,0.11232876712328767,0.032328767123287666,0.032328767123287666,0.0010451491837117654,365,365
rbf,decision_rule,6h_prior,0.09,0.12054794520547946,0.03054794520547946,0.03054794520547946,0.0009331769562769755,365,365
rbf,decision_rule,6h_prior,0.1,0.13150684931506848,0.031506849315068475,0.031506849315068475,0.000992681553762431,365,365
rbf,decision_rule,6h_prior,0.11,0.14794520547945206,0.03794520547945206,0.03794520547945206,0.0014398386188778384,365,365
rbf,decision_rule,6h_prior,0.12,0.16164383561643836,0.04164383561643836,0.04164383561643836,0.0017342090448489403,365,365
rbf,decision_rule,6h_prior,0.13,0.1726027397260274,0.042602739726027405,0.042602739726027405,0.0018149934321636336,365,365
rbf,decision_rule,6h_prior,0.14,0.1863013698630137,0.0463013698630137,0.0463013698630137,0.002143816851191593,365,365
rbf,decision_rule,6h_prior,0.15,0.1917808219178082,0.041780821917808214,0.041780821917808214,0.0017456370801276033,365,365
rbf,decision_rule,6h_prior,0.16,0.19726027397260273,0.03726027397260273,0.03726027397260273,0.0013883280165134166,365,365
rbf,decision_rule,6h_prior,0.17,0.20821917808219179,0.038219178082191774,0.038219178082191774,0.001460705573278288,365,365
rbf,decision_rule,6h_prior,0.18,0.2191780821917808,0.039178082191780816,0.039178082191780816,0.0015349221242259331,365,365
rbf,decision_rule,6h_prior,0.19,0.2356164383561644,0.045616438356164385,0.045616438356164385,0.002080859448301745,365,365
rbf,decision_rule,6h_prior,0.2,0.2465753424657534,0.0465753424657534,0.0465753424657534,0.002169262525802212,365,365
rbf,decision_rule,6h_prior,0.21,0.2547945205479452,0.04479452054794522,0.04479452054794522,0.0020065490711202866,365,365
rbf,decision_rule,6h_prior,0.22,0.26301369863013696,0.04301369863013696,0.04301369863013696,0.0018501782698442462,365,365
rbf,decision_rule,6h_prior,0.23,0.273972602739726,0.043972602739726,0.043972602739726,0.0019335897917057588,365,365
rbf,decision_rule,6h_prior,0.24,0.2876712328767123,0.04767123287671232,0.04767123287671232,0.002272546443985738,365,365
rbf,decision_rule,6h_prior,0.25,0.3041095890410959,0.05410958904109592,0.05410958904109592,0.0029278476261962874,365,365
