model,scope_type,scope_value,dates,nominal_coverage,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
rbf,decision_rule,6h_prior,365,0.8,mean_interval_width_c,3.672774638096833,circular_moving_block,5.0,3.6396721597494066,3.7038255747332958,10000,20264003,settlement_date
rbf,decision_rule,6h_prior,365,0.9,empirical_coverage,0.8547945205479452,circular_moving_block,5.0,0.8054794520547945,0.9013698630136986,10000,20264003,settlement_date
rbf,decision_rule,6h_prior,365,0.9,mean_interval_width_c,4.713955214031308,circular_moving_block,5.0,4.671468643038196,4.753808659744993,10000,20264003,settlement_date
rbf,decision_rule,6h_prior,365,0.5,empirical_coverage,0.4575342465753425,circular_moving_block,7.0,0.4,0.5178082191780822,10000,20264103,settlement_date
rbf,decision_rule,6h_prior,365,0.5,mean_interval_width_c,1.9330075470850996,circular_moving_block,7.0,1.9125096251191507,1.952163257274761,10000,20264103,settlement_date
rbf,decision_rule,6h_prior,365,0.8,empirical_coverage,0.7726027397260274,circular_moving_block,7.0,0.7150684931506849,0.8246575342465754,10000,20264103,settlement_date
rbf,decision_rule,6h_prior,365,0.8,mean_interval_width_c,3.672774638096833,circular_moving_block,7.0,3.6338279469451353,3.7091710850043578,10000,20264103,settlement_date
rbf,decision_rule,6h_prior,365,0.9,empirical_coverage,0.8547945205479452,circular_moving_block,7.0,0.8,0.9041095890410958,10000,20264103,settlement_date
rbf,decision_rule,6h_prior,365,0.9,mean_interval_width_c,4.713955214031308,circular_moving_block,7.0,4.663967677110467,4.760669547900932,10000,20264103,settlement_date
rbf,decision_rule,6h_prior,365,0.5,empirical_coverage,0.4575342465753425,circular_moving_block,14.0,0.3972602739726027,0.5205479452054794,10000,20264203,settlement_date
rbf,decision_rule,6h_prior,365,0.5,mean_interval_width_c,1.9330075470850996,circular_moving_block,14.0,1.9065060802373595,1.9575305885540042,10000,20264203,settlement_date
rbf,decision_rule,6h_prior,365,0.8,empirical_coverage,0.7726027397260274,circular_moving_block,14.0,0.7150684931506849,0.8246575342465754,10000,20264203,settlement_date
rbf,decision_rule,6h_prior,365,0.8,mean_interval_width_c,3.672774638096833,circular_moving_block,14.0,3.6224210243939217,3.7193691818645465,10000,20264203,settlement_date
rbf,decision_rule,6h_prior,365,0.9,empirical_coverage,0.8547945205479452,circular_moving_block,14.0,0.7972602739726027,0.9068493150684932,10000,20264203,settlement_date
rbf,decision_rule,6h_prior,365,0.9,mean_interval_width_c,4.713955214031308,circular_moving_block,14.0,4.649327050517533,4.77375866351631,10000,20264203,settlement_date
rbf,decision_rule,event_day_open,365,0.5,empirical_coverage,0.4520547945205479,ordinary_date,,0.40273972602739727,0.5041095890410959,10000,20264803,settlement_date
rbf,decision_rule,event_day_open,365,0.5,mean_interval_width_c,1.8469898341598852,ordinary_date,,1.8398953917318785,1.8537491701486908,10000,20264803,settlement_date
rbf,decision_rule,event_day_open,365,0.8,empirical_coverage,0.7671232876712328,ordinary_date,,0.7232876712328767,0.8082191780821918,10000,20264803,settlement_date
rbf,decision_rule,event_day_open,365,0.8,mean_interval_width_c,3.50933830028469,ordinary_date,,3.4958586383659815,3.5221812495155413,10000,20264803,settlement_date
rbf,decision_rule,event_day_open,365,0.9,empirical_coverage,0.8958904109589041,ordinary_date,,0.863013698630137,0.9260273972602739,10000,20264803,settlement_date
rbf,decision_rule,event_day_open,365,0.9,mean_interval_width_c,4.504186945431264,ordinary_date,,4.486885986661305,4.520670692313615,10000,20264803,settlement_date
rbf,decision_rule,event_day_open,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,3.0,0.3972602739726027,0.5068493150684932,10000,20264903,settlement_date
rbf,decision_rule,event_day_open,365,0.5,mean_interval_width_c,1.8469898341598852,circular_moving_block,3.0,1.8350921533376923,1.8578783410652255,10000,20264903,settlement_date
rbf,decision_rule,event_day_open,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,3.0,0.7177397260273979,0.8164383561643835,10000,20264903,settlement_date
rbf,decision_rule,event_day_open,365,0.8,mean_interval_width_c,3.50933830028469,circular_moving_block,3.0,3.4867323355838185,3.5300268030631576,10000,20264903,settlement_date
rbf,decision_rule,event_day_open,365,0.9,empirical_coverage,0.8958904109589041,circular_moving_block,3.0,0.8602739726027397,0.9287671232876712,10000,20264903,settlement_date
rbf,decision_rule,event_day_open,365,0.9,mean_interval_width_c,4.504186945431264,circular_moving_block,3.0,4.475172503852272,4.530740351276387,10000,20264903,settlement_date
rbf,decision_rule,event_day_open,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,5.0,0.39452054794520547,0.5095890410958904,10000,20265003,settlement_date
rbf,decision_rule,event_day_open,365,0.5,mean_interval_width_c,1.8469898341598852,circular_moving_block,5.0,1.8322215876300758,1.860705766445922,10000,20265003,settlement_date
rbf,decision_rule,event_day_open,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,5.0,0.7150684931506849,0.8164383561643835,10000,20265003,settlement_date
rbf,decision_rule,event_day_open,365,0.8,mean_interval_width_c,3.50933830028469,circular_moving_block,5.0,3.4812781711943335,3.535398999485777,10000,20265003,settlement_date
rbf,decision_rule,event_day_open,365,0.9,empirical_coverage,0.8958904109589041,circular_moving_block,5.0,0.8602739726027397,0.9287671232876712,10000,20265003,settlement_date
rbf,decision_rule,event_day_open,365,0.9,mean_interval_width_c,4.504186945431264,circular_moving_block,5.0,4.468172159645105,4.537635490737025,10000,20265003,settlement_date
rbf,decision_rule,event_day_open,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,7.0,0.39452054794520547,0.5123287671232877,10000,20265103,settlement_date
rbf,decision_rule,event_day_open,365,0.5,mean_interval_width_c,1.8469898341598852,circular_moving_block,7.0,1.8299021290246662,1.8629306991997212,10000,20265103,settlement_date
rbf,decision_rule,event_day_open,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,7.0,0.7123287671232876,0.8191780821917808,10000,20265103,settlement_date
rbf,decision_rule,event_day_open,365,0.8,mean_interval_width_c,3.50933830028469,circular_moving_block,7.0,3.4768711274903836,3.539626441123003,10000,20265103,settlement_date
rbf,decision_rule,event_day_open,365,0.9,empirical_coverage,0.8958904109589041,circular_moving_block,7.0,0.8575342465753425,0.9287671232876712,10000,20265103,settlement_date
rbf,decision_rule,event_day_open,365,0.9,mean_interval_width_c,4.504186945431264,circular_moving_block,7.0,4.462515780287882,4.543061353337229,10000,20265103,settlement_date
