model,scope,scope_value,stratification_variable,quartile,rows,dates,variable_minimum,variable_maximum,variable_mean,mean_squared_standardised_residual,mean_absolute_standardised_residual,central_90_empirical_coverage,mean_crps_c
rbf,decision_rule,event_day_open,forecast_daily_max_c,Q2,91,91,22.6,26.6,24.813186813186814,1.1464789432155107,0.919891830281193,0.8791208791208791,0.8577029917087913
rbf,decision_rule,event_day_open,forecast_daily_max_c,Q3,91,91,26.6,29.4,28.142857142857142,1.0568091135907718,0.8552680205268882,0.9010989010989011,0.806700781856044
rbf,decision_rule,event_day_open,forecast_daily_max_c,Q4,91,91,29.4,33.6,30.9021978021978,1.0014498000226493,0.794439116079721,0.9010989010989011,0.7758569375252747
matern32,overall,all,predictive_standard_deviation_c,Q1,365,187,1.2091510145,1.4161248651,1.3499850452342466,1.0525332253155801,0.7991436538356896,0.8931506849315068,0.7686356988983561
matern32,overall,all,predictive_standard_deviation_c,Q2,365,262,1.4161300167,1.4638459651,1.4399962441986303,1.0599369960110505,0.820575894593563,0.915068493150685,0.83329621126
matern32,overall,all,predictive_standard_deviation_c,Q3,365,204,1.464043086,1.5079307639,1.4819539081775344,1.2488654575761022,0.9304747655322331,0.8410958904109589,0.9554563817276713
matern32,overall,all,predictive_standard_deviation_c,Q4,365,248,1.5104977561,1.5795672901,1.5470530465841097,1.0342671550491296,0.8318453215846948,0.873972602739726,0.8959717039484931
matern32,overall,all,temperature_predictive_mean_c,Q1,365,99,14.9134328702,23.7592872423,21.137677421570135,0.9973512373419124,0.7677878909119171,0.9095890410958904,0.8048275321526027
matern32,overall,all,temperature_predictive_mean_c,Q2,365,109,23.7662859999,28.0730006634,26.15217387846,1.2950244596402467,0.933242827287634,0.8575342465753425,0.9510122422153425
matern32,overall,all,temperature_predictive_mean_c,Q3,365,123,28.0938587504,31.1501936431,29.753679979367945,1.0592727275395721,0.8480099353681453,0.8794520547945206,0.8584049270153425
matern32,overall,all,temperature_predictive_mean_c,Q4,365,106,31.1515329364,35.3834676159,32.577986149798356,1.0439544094301314,0.8329989819784842,0.8767123287671232,0.8391152944512329
matern32,overall,all,forecast_daily_max_c,Q1,365,97,13.5,22.5,19.76904109589041,1.0546485835809276,0.790123883306524,0.9041095890410958,0.8267492623183562
matern32,overall,all,forecast_daily_max_c,Q2,365,111,22.5,26.6,24.811232876712328,1.2164830741981114,0.8996302125645406,0.863013698630137,0.9199754205304109
matern32,overall,all,forecast_daily_max_c,Q3,365,115,26.6,29.3,28.175068493150683,1.045595883011045,0.8465116047705955,0.8849315068493151,0.8466307464794521
matern32,overall,all,forecast_daily_max_c,Q4,365,105,29.3,33.8,30.74958904109589,1.0788752931617787,0.8457739349045206,0.8712328767123287,0.8600045665063013
matern32,decision_rule,24h_prior,predictive_standard_deviation_c,Q1,92,92,1.3483476093,1.4490072182,1.436952217375,1.3828385975710653,0.922048649154173,0.8695652173913043,0.9430702162467391
matern32,decision_rule,24h_prior,predictive_standard_deviation_c,Q2,91,91,1.4490072182,1.5184757736,1.5038652772307695,0.958749228099707,0.8315408889377923,0.9230769230769231,0.8478777281087913
