model,scope,scope_value,bin_number,lower_bound,upper_bound,count,proportion,uniform_reference_proportion,proportion_error
matern32,decision_rule,12h_prior,5,0.4,0.5,34,0.09315068493150686,0.1,-0.00684931506849315
matern32,decision_rule,12h_prior,6,0.5,0.6000000000000001,38,0.10410958904109589,0.1,0.004109589041095887
matern32,decision_rule,12h_prior,7,0.6000000000000001,0.7000000000000001,26,0.07123287671232877,0.1,-0.02876712328767124
matern32,decision_rule,12h_prior,8,0.7000000000000001,0.8,36,0.09863013698630137,0.1,-0.0013698630136986384
matern32,decision_rule,12h_prior,9,0.8,0.9,39,0.10684931506849316,0.1,0.00684931506849315
matern32,decision_rule,12h_prior,10,0.9,1.0,33,0.09041095890410959,0.1,-0.009589041095890413
matern32,decision_rule,6h_prior,1,0.0,0.1,43,0.1178082191780822,0.1,0.017808219178082188
matern32,decision_rule,6h_prior,2,0.1,0.2,42,0.11506849315068493,0.1,0.015068493150684925
matern32,decision_rule,6h_prior,3,0.2,0.30000000000000004,39,0.10684931506849316,0.1,0.00684931506849315
matern32,decision_rule,6h_prior,4,0.30000000000000004,0.4,33,0.09041095890410959,0.1,-0.009589041095890413
matern32,decision_rule,6h_prior,5,0.4,0.5,29,0.07945205479452055,0.1,-0.02054794520547945
matern32,decision_rule,6h_prior,6,0.5,0.6000000000000001,40,0.1095890410958904,0.1,0.0095890410958904
matern32,decision_rule,6h_prior,7,0.6000000000000001,0.7000000000000001,31,0.08493150684931507,0.1,-0.015068493150684939
matern32,decision_rule,6h_prior,8,0.7000000000000001,0.8,38,0.10410958904109589,0.1,0.004109589041095887
matern32,decision_rule,6h_prior,9,0.8,0.9,37,0.10136986301369863,0.1,0.0013698630136986245
matern32,decision_rule,6h_prior,10,0.9,1.0,33,0.09041095890410959,0.1,-0.009589041095890413
matern32,decision_rule,event_day_open,1,0.0,0.1,39,0.10684931506849316,0.1,0.00684931506849315
matern32,decision_rule,event_day_open,2,0.1,0.2,41,0.11232876712328767,0.1,0.012328767123287662
matern32,decision_rule,event_day_open,3,0.2,0.30000000000000004,37,0.10136986301369863,0.1,0.0013698630136986245
matern32,decision_rule,event_day_open,4,0.30000000000000004,0.4,37,0.10136986301369863,0.1,0.0013698630136986245
matern32,decision_rule,event_day_open,5,0.4,0.5,39,0.10684931506849316,0.1,0.00684931506849315
matern32,decision_rule,event_day_open,6,0.5,0.6000000000000001,28,0.07671232876712329,0.1,-0.023287671232876714
matern32,decision_rule,event_day_open,7,0.6000000000000001,0.7000000000000001,34,0.09315068493150686,0.1,-0.00684931506849315
matern32,decision_rule,event_day_open,8,0.7000000000000001,0.8,38,0.10410958904109589,0.1,0.004109589041095887
matern32,decision_rule,event_day_open,9,0.8,0.9,32,0.08767123287671233,0.1,-0.012328767123287676
matern32,decision_rule,event_day_open,10,0.9,1.0,40,0.1095890410958904,0.1,0.0095890410958904
matern32,validation_block,fold_01,1,0.0,0.1,47,0.12912087912087913,0.1,0.02912087912087913
matern32,validation_block,fold_01,2,0.1,0.2,26,0.07142857142857142,0.1,-0.02857142857142858
matern32,validation_block,fold_01,3,0.2,0.30000000000000004,23,0.06318681318681318,0.1,-0.03681318681318682
matern32,validation_block,fold_01,4,0.30000000000000004,0.4,20,0.054945054945054944,0.1,-0.04505494505494506
matern32,validation_block,fold_01,5,0.4,0.5,17,0.046703296703296704,0.1,-0.0532967032967033
