gp_weight,market_weight,binary_brier,binary_log,categorical_log,multiclass_brier,development_dates,development_books,probability_pool
0.094,0.906,0.06636732605809109,0.21182050088440887,1.490187294441221,0.7300405866390021,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.095,0.905,0.06636000186195454,0.21179354282569024,1.4899489788076785,0.7299600204814999,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.096,0.904,0.06635269288000101,0.21176670464468497,1.489711849116855,0.7298796216800111,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.097,0.903,0.06634539911223047,0.2117399855975271,1.4894758972696118,0.7297993902345352,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.098,0.902,0.06633812055864295,0.21171338495074327,1.4892411152809293,0.7297193261450725,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.099,0.901,0.06633085721923844,0.21168690198104023,1.4890074952775747,0.729639429411623,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.1,0.9,0.06632360909401695,0.2116605359750991,1.4887750294958328,0.7295597000341866,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.101,0.899,0.06631637618297846,0.21163428622937383,1.4885437102792975,0.7294801380127631,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.102,0.898,0.066309158486123,0.21160815204989597,1.488313530076719,0.7294007433473527,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.103,0.897,0.06630195600345053,0.21158213275208415,1.4880844814399117,0.7293215160379558,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.104,0.896,0.06629476873496108,0.2115562276605585,1.4878565570217117,0.7292424560845717,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.105,0.895,0.06628759668065465,0.21153043610896033,1.4876297495739936,0.7291635634872009,67,236,convex linear pool of coherent GP and normalised market book probabilities
