settlement_date,decision_rule,source_path
2024-04-26,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-27,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-27,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-27,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-27,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-28,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-28,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-28,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-28,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-29,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-29,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-29,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-29,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-30,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-30,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-30,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-30,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-01,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-01,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-01,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-01,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-02,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-02,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-02,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-02,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-03,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-03,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-03,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-03,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-04,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-04,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-04,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-04,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-05,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-05,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-05,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-05,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-06,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-06,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-06,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-06,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-07,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-07,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-07,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-07,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-08,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-08,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-08,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-08,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-09,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-09,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-09,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-09,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-10,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-10,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-10,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-10,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-11,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-11,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-11,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-11,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-12,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-12,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-12,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-12,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-13,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-13,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-13,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-13,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-14,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-14,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-14,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-14,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-15,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-15,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-15,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-15,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-16,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-16,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-16,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-16,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-17,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-17,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-17,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-17,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-18,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-18,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-18,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-18,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-19,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-19,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-19,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-19,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-20,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-20,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-20,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-20,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-21,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-21,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-21,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-21,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-22,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-22,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-22,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-22,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-23,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-23,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-23,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-23,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-24,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-24,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-24,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-24,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-25,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-25,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-25,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-25,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-26,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-26,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-26,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-26,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-27,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-27,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-27,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-27,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-28,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-28,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-28,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-28,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-29,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-29,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-29,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-29,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-05-30,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
