event_date,empirical_period,contract_key,12h_prior,24h_prior,6h_prior,event_day_open,contract_complete,taec_date_eligible
2026-05-07,market_development,32031425781170307167882724568761590510364972587053353674414497802579131526538,0.0015,0.0015,0.0005,0.0005,True,True
2026-05-07,market_development,34999188821447320789091592711311073384695366617689291700530214653758517091883,0.27,0.22,0.31,0.455,True,True
2026-05-07,market_development,45427231867523037361765297343206485319318788431298328575060838710146350879742,0.265,0.295,0.16,0.052,True,True
2026-05-07,market_development,49159070016038652678399705754396982595628695075178831134214884939455479797269,0.0015,0.0025,0.0025,0.0015,True,True
2026-05-07,market_development,6165193712404272848380566702015723519114368431502050035518284669802065733554,0.0015,0.002,0.0075,0.008,True,True
2026-05-07,market_development,85496398603942550247384799430661359872684457752327118649913136835913227667094,0.0075,0.0175,0.0365,0.143,True,True
2026-05-07,market_development,85792765829194992341305417970729049425696534686943573437443353734418291039289,0.066,0.0605,0.119,0.1885,True,True
2026-05-07,market_development,86292337369896474080009857166536116873642527626937787198432459136269960608489,0.04,0.085,0.035,0.0065,True,True
2026-05-08,market_development,11906670436656600835739700127123694594094082081453565369298581615043269627773,0.1005,0.0665,0.0225,0.0325,True,True
2026-05-08,market_development,25572566362300071719241602349064594760155001694189528073792612423036108823371,0.0005,0.0015,0.0015,0.0005,True,True
2026-05-08,market_development,34871344638207150751127019498046381119825806452759876532637307648984650272290,0.0115,0.026,0.0105,0.0175,True,True
2026-05-08,market_development,53105247258713766151754052791725822318255707909550963153210463101440177505685,0.425,0.4,0.42,0.335,True,True
2026-05-08,market_development,53468486004826129876241639699389666096547645651372034681661433034938426587539,0.0075,0.009,0.0045,0.004,True,True
2026-05-08,market_development,65887961658875134339642055644807916141632182365081343291527713226522392898197,0.0315,0.045,0.1065,0.13,True,True
2026-05-08,market_development,70684478307716500220503860855022581242839309104142022946468072746194774030179,0.0035,0.0065,0.0035,0.0005,True,True
2026-05-08,market_development,90681928144048992045119562931409148469300849219314404143767986445279334053721,0.255,0.225,0.39,0.425,True,True
2026-05-08,market_development,9339028643322510628218822423861057349341107125501211052601551987437534171263,0.003,0.003,0.0005,0.0005,True,True
2026-05-08,market_development,96987722132979346390984433570362229255985221371303535267719207439584470919779,0.215,0.31,0.095,0.095,True,True
2026-05-08,market_development,97062223382632036740031794148098581333467729596785998150199913831345606910891,0.0015,0.0015,0.0005,0.0005,True,True
2026-05-09,market_development,110237422420196844729517615584943413627928180742271281704797854163229266659022,0.0005,0.0015,0.0005,0.0005,True,True
2026-05-09,market_development,11546842290895549425459850415403401516115662553089219451090199844923372769666,0.003,0.003,0.0035,0.0015,True,True
2026-05-09,market_development,16483740062723069435901788328741307622178092111403820426704925422684425252631,0.35,0.36,0.27,0.006,True,True
2026-05-09,market_development,21725140321704985423651531139327547528309640953652485196917271690832796256647,0.0015,0.0015,0.0005,0.0005,True,True
2026-05-09,market_development,27236670072856622191502909073151433628992859413448160185867926805493851565431,0.0015,0.001,0.0015,0.0005,True,True
2026-05-09,market_development,3358788211708207872831664940363968327277827938098330635589931404860858441243,0.0085,0.0045,0.004,0.002,True,True
2026-05-09,market_development,35158041064794393671845093723991014996521989020425995110011978417443888480391,0.145,0.12,0.125,0.285,True,True
2026-05-09,market_development,43340312811581141164032796244758500899043594425022094943875093373582939823854,0.16,0.205,0.055,0.0075,True,True
2026-05-09,market_development,67886780782777007404816576296208647215053862142002210126840998072692210038796,0.35,0.325,0.525,0.69,True,True
2026-05-09,market_development,6830144703662738591840055539046575873736882365863661626364846678772402033389,0.029,0.028,0.013,0.0035,True,True
2026-05-09,market_development,70342197844825094404693684269462175125421468931864937963087574986265676348068,0.0015,0.0015,0.0015,0.0005,True,True
2026-05-10,market_development,108465775054830838143444755346751530319257319851368844031662960182488150506891,0.055,0.105,0.036,0.035,True,True
2026-05-10,market_development,111180398304424621426358029952301223844163522981769500950720230142250444424735,0.425,0.355,0.505,0.545,True,True
2026-05-10,market_development,112047286153050664215252932011721076035477192717048592577781353066314668276735,0.0005,0.002,0.0005,0.0005,True,True
2026-05-10,market_development,12340943141275474785702642796817421514807860557841038589630566845161188270216,0.0025,0.0035,0.0035,0.0005,True,True
2026-05-10,market_development,13630685904380936878221408644315917007413491740604550203866089386731319476310,0.165,0.265,0.18,0.13,True,True
2026-05-10,market_development,41580445596780586623562968305558978220320575574345655399496597357840714706461,0.012,0.0245,0.017,0.016,True,True
2026-05-10,market_development,43681413208091739377785454323681563819424949646797026856807579000995571747678,0.08,0.08,0.065,0.08,True,True
2026-05-10,market_development,56369416832872712190090826124409577500003142925815221428008462374848109568482,0.001,0.0015,0.001,0.0005,True,True
2026-05-10,market_development,66001377805269879342647860416908654959980953320033374776419488685190907502288,0.007,0.008,0.0055,0.004,True,True
2026-05-10,market_development,68574117907658170871155505283959284649116613188893004122029208467042706131781,0.32,0.2,0.23,0.245,True,True
2026-05-10,market_development,86216970442487405206636588785617541463962089574838954433720322849081141326561,0.0015,0.002,0.001,0.0015,True,True
2026-05-11,market_development,101398723126401504650252030457017816436308155810432567556907654059148001774766,0.047,0.039,0.0535,0.0495,True,True
2026-05-11,market_development,113522710362505363694074699828040192045480972694009836861671591780222795158523,0.0005,0.002,0.0005,0.0005,True,True
2026-05-11,market_development,12635259993737916795752280784433416290345723471626383587985752055999222428461,0.003,0.003,0.005,0.002,True,True
2026-05-11,market_development,31297432975649623717008452511829137188921721439161408496877419632339387330590,0.185,0.165,0.15,0.26,True,True
2026-05-11,market_development,44773921039712088215182448304894576960610820432436007109402404882742483903793,0.29,0.325,0.31,0.265,True,True
2026-05-11,market_development,57940332980035942801190521604320552091734645043332356555121738077352101093508,0.003,0.0025,0.002,0.003,True,True
2026-05-11,market_development,661792504278392656086585259196476565610623169730259709691270034125282915199,0.0015,0.0025,0.0005,0.0005,True,True
2026-05-11,market_development,74945798119791299988709168871477607037183531713573708666035033887391338159048,0.007,0.007,0.011,0.006,True,True
2026-05-11,market_development,90724103613644523627058472605271801049003456591123407291530524617384007800204,0.39,0.375,0.315,0.37,True,True
2026-05-11,market_development,92006648826617394984688443975245187298319767254497090471128348354069171522751,0.0015,0.0015,0.0005,0.0005,True,True
2026-05-11,market_development,9789536427720554419828482083888982655547363407755700131375656366767008469931,0.12,0.145,0.17,0.115,True,True
2026-05-12,market_development,100526579894567458037053999288374214201124749143227419664607770019620603164899,0.0065,0.015,0.0025,0.0035,True,True
