event_date,empirical_period,model,positions,yes_positions,no_positions,net_pnl,entry_capital,mean_gap_closed_fraction,target_hit_positions,forced_open_positions,strategy,active
2026-05-22,market_development,static,2,1,1,0.02149999999999999,0.7899999999999999,-0.2585136252929203,1,1,taec11,True
2026-05-22,market_development,rbf,2,1,1,0.02149999999999999,0.7899999999999999,-0.2639840122532008,1,1,taec11,True
2026-05-22,market_development,matern32,2,1,1,0.02149999999999999,0.7899999999999999,-0.35873509184353136,1,1,taec11,True
2026-05-23,market_development,raw,6,1,5,-0.04949999999999999,4.096,0.20835039143862674,0,6,taec11,True
2026-05-23,market_development,static,7,4,3,-0.044500000000000026,2.5915,0.006851269575478737,1,6,taec11,True
2026-05-23,market_development,rbf,7,4,3,-0.044500000000000026,2.5915,-0.005933835866926688,1,6,taec11,True
2026-05-23,market_development,matern32,7,4,3,-0.044500000000000026,2.5915,-0.016230392551491786,1,6,taec11,True
2026-05-24,market_development,raw,4,1,3,-0.17500000000000002,2.17,-0.07637556722253075,0,4,taec11,True
2026-05-24,market_development,static,5,3,2,-0.0035000000000000413,1.5565,0.4663238350037623,2,3,taec11,True
2026-05-24,market_development,rbf,5,3,2,-0.0035000000000000413,1.5565,0.5158075435948953,2,3,taec11,True
2026-05-24,market_development,matern32,5,3,2,-0.0035000000000000413,1.5565,0.59690691777193,2,3,taec11,True
2026-05-25,market_development,raw,5,1,4,-0.27749999999999997,3.2,-0.04908123249299718,0,5,taec11,True
2026-05-25,market_development,static,6,4,2,-0.581,1.844,-1.8054660137377951,0,6,taec11,True
2026-05-25,market_development,rbf,6,4,2,-0.581,1.844,-1.90373746891904,0,6,taec11,True
2026-05-25,market_development,matern32,5,3,2,-0.426,1.639,-1.0843334550692585,0,5,taec11,True
2026-05-26,market_development,raw,4,1,3,-0.16549999999999995,2.1849999999999996,-0.015455354856020731,0,4,taec11,True
2026-05-26,market_development,static,5,3,2,-0.2955,1.4689999999999999,-0.275130917113685,0,5,taec11,True
2026-05-26,market_development,rbf,6,3,3,-0.23549999999999996,2.214,0.4319617533314199,1,5,taec11,True
2026-05-26,market_development,matern32,6,3,3,-0.23549999999999996,2.214,0.3675766865318883,1,5,taec11,True
2026-05-27,market_development,raw,5,1,4,-0.23099999999999998,3.17,-0.041246217550565366,0,5,taec11,True
2026-05-27,market_development,static,5,3,2,-0.371,1.7015,-1.057780113093777,0,5,taec11,True
2026-05-27,market_development,rbf,4,2,2,-0.291,1.4815,-0.6384343916778138,0,4,taec11,True
2026-05-27,market_development,matern32,5,3,2,-0.321,1.5915,-0.6078825666706967,0,5,taec11,True
2026-05-28,market_development,raw,4,1,3,-0.4749999999999999,2.45,0.013818459314455661,0,4,taec11,True
2026-05-28,market_development,static,5,3,2,0.3245,1.8535000000000001,1.047637978859336,3,2,taec11,True
2026-05-28,market_development,rbf,5,3,2,0.3245,1.8535000000000001,1.0226591597575052,3,2,taec11,True
2026-05-28,market_development,matern32,5,3,2,0.3245,1.8535000000000001,0.9374667118471924,3,2,taec11,True
2026-05-29,market_development,raw,3,1,2,-0.23850000000000005,1.435,0.15296710847662487,0,3,taec11,True
2026-05-29,market_development,static,3,1,2,0.19000000000000009,2.4050000000000002,1.457525817542592,3,0,taec11,True
2026-05-29,market_development,rbf,3,1,2,0.19000000000000009,2.4050000000000002,1.5067219100081044,3,0,taec11,True
2026-05-29,market_development,matern32,3,1,2,0.19000000000000009,2.4050000000000002,1.4606341699742307,3,0,taec11,True
2026-05-30,market_development,raw,5,1,4,-0.12150000000000001,3.532,0.0078054452902442395,0,5,taec11,True
2026-05-30,market_development,static,4,2,2,-0.16349999999999998,1.5630000000000002,-0.13346121239104142,0,4,taec11,True
2026-05-30,market_development,rbf,4,2,2,-0.16349999999999998,1.5630000000000002,-0.12991554699656366,0,4,taec11,True
2026-05-30,market_development,matern32,4,2,2,-0.16349999999999998,1.5630000000000002,-0.12090875363616829,0,4,taec11,True
2026-05-31,market_development,raw,5,1,4,-0.11049999999999999,3.149,0.14714280963563758,0,5,taec11,True
2026-05-31,market_development,static,4,2,2,0.17049999999999998,1.5060000000000002,1.7099684813421034,2,2,taec11,True
2026-05-31,market_development,rbf,4,2,2,0.17049999999999998,1.5060000000000002,1.5217762700322597,2,2,taec11,True
2026-05-31,market_development,matern32,5,3,2,0.18049999999999997,1.831,1.2679436554526833,3,2,taec11,True
2026-06-01,market_development,raw,5,1,4,-0.11050000000000003,3.0755,-0.20556160933259884,0,5,taec11,True
2026-06-01,market_development,static,6,4,2,0.2435,1.6695,0.4980659746713507,1,5,taec11,True
2026-06-01,market_development,rbf,6,4,2,0.2435,1.6695,0.5313487097503848,1,5,taec11,True
2026-06-01,market_development,matern32,6,4,2,0.2435,1.6695,0.5425935462663588,1,5,taec11,True
